№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
1,081100768_,LDPA0-5030-1H-K01,"Светильник аварийный ДПА 5030-1, NI-CD, пост.,1ч,IP20, IEK",1
2,081100769_,LDPA0-5030-3H-K01,"Светильник аварийный ДПА 5030-3, NI-CD, пост.,3ч,IP20, IEK",1
3,130200381_,LDBA0-3926-30-K01,Светильник ДБА 3926 аккумулятор 3ч 3Вт IEK,1
4,081100762_,LDBA0-3927-90-K01,Светильник ДБА 3927 аккумулятор 15ч 9Вт IEK,1
5,130200378_,LDBA0-3928-60-K01,Светильник светодиодный аккумуляторный ДБА 3928 15ч 12Вт IEK,1
6,081100766_,LDRO1-2060-04-10-K02,Светильник LED переносной ДРО 2060 IP44 шнур 10м черный IEK,1
7,081100767_,LDRO1-2061-09-10-K02,Светильник LED переносной ДРО 2061 IP54 шнур 10м черный IEK,1
8,081100760_,LDNN5-001-SQ-P-00-S-K01,Светильник-ночник 001 круг USB датчик осв. 220В IEK,1
9,081100759_,LDNN1-002-OV-P-00-S-K01,Светильник-ночник 002 овал розетка 220В IEK,1
10,081100758_,LDNN0-005-OV-P-00-S-K01,Светильник-ночник 005 овал 220В IEK,1
11,081100761_,LDNN8-018-SQ-P-00-S-K01,Светильник-ночник 018 квадрат датчик осв. 220В IEK,1
12,150101182_,LT-UBU0-5100-E27-1-K02,Светильник уличный 5100 настенный E27 IP54 черный IEK,1
13,150101183_,LT-UBU0-5101-E27-2-K02,Светильник уличный 5101 настенный E27 IP54 черный IEK,1
14,150101200_,LT-UPU0-5104-GX53-1-K01,Светильник уличный 5104 потолочный GX53 IP65 белый IEK,1
15,150101202_,LT-UPU0-5104-GX53-1-K03,Светильник уличный 5104 потолочный GX53 IP65 серый IEK,1
16,150101201_,LT-UPU0-5104-GX53-1-K02,Светильник уличный 5104 потолочный GX53 IP65 черный IEK,1
17,150101188_,LT-UBU0-5107-GU10-1-K01,Светильник уличный 5107 настенный GU10 IP65 белый IEK,1
18,150101190_,LT-UBU0-5107-GU10-1-K03,Светильник уличный 5107 настенный GU10 IP65 серый IEK,1
19,150101189_,LT-UBU0-5107-GU10-1-K02,Светильник уличный 5107 настенный GU10 IP65 черный IEK,1
20,150101191_,LT-UBU0-5108-GU10-2-K01,Светильник уличный 5108 настенный 2хGU10 IP65 белый IEK,1
21,150101193_,LT-UBU0-5108-GU10-2-K03,Светильник уличный 5108 настенный 2хGU10 IP65 серый IEK,1
22,150101192_,LT-UBU0-5108-GU10-2-K02,Светильник уличный 5108 настенный 2хGU10 IP65 черный IEK,1
23,150101205_,LT-UPU0-5110-GU10-1-K03,Светильник уличный 5110 потолочный GU10 IP65 серый IEK,1
24,150101204_,LT-UPU0-5110-GU10-1-K02,Светильник уличный 5110 потолочный GU10 IP65 черный IEK,1
25,150101207_,LT-UPU0-5112-GU10-1-K03,Светильник уличный 5112 настенный GU10 IP65 серый IEK,1
26,150101209_,LT-UPU0-5113-GU10-2-K03,Светильник уличный 5113 настенный 2хGU10 IP65 серый IEK,1
27,150101208_,LT-UPU0-5113-GU10-2-K02,Светильник уличный 5113 настенный 2хGU10 IP65 черный IEK,1
28,150101194_,LT-UBU0-5220-GU10-1-K01,Светильник уличный 5220 настенный GU10 IP65 белый IEK,1
29,150101196_,LT-UBU0-5220-GU10-1-K03,Светильник уличный 5220 настенный GU10 IP65 серый IEK,1
30,150101195_,LT-UBU0-5220-GU10-1-K02,Светильник уличный 5220 настенный GU10 IP65 черный IEK,1
31,150101197_,LT-UBU0-5221-GU10-2-K01,Светильник уличный 5221 настенный 2хGU10 IP65 белый IEK,1
32,150101199_,LT-UBU0-5221-GU10-2-K03,Светильник уличный 5221 настенный 2хGU10 IP65 серый IEK,1
33,150101198_,LT-UBU0-5221-GU10-2-K02,Светильник уличный 5221 настенный 2хGU10 IP65 черный IEK,1
34,150101210_,LT-UPU0-5222-GU10-1-K01,Светильник уличный 5222 потолочный GU10 IP65 белый IEK,1
35,150101178_,LT-DBU0-5103-010-40-K03,Светильник уличный LED 5103 наст. 10Вт 4000К IP54 серый IEK,1
36,150101177_,LT-DBU0-5103-010-40-K02,Светильник уличный LED 5103 наст. 10Вт 4000К IP54 черный IEK,1
37,150101179_,LT-DBU0-5111-006-40-K01,Светильник уличный LED 5111 наст. 6Вт 4000К IP65 белый IEK,1
38,150101181_,LT-DBU0-5111-006-40-K03,Светильник уличный LED 5111 наст. 6Вт 4000К IP65 серый IEK,1
39,150101180_,LT-DBU0-5111-006-40-K02,Светильник уличный LED 5111 наст. 6Вт 4000К IP65 черный IEK,1
40,080800137_,LSR5-1-120-65-2-10-S0,"Светодиодная лента ""Неон"" (лента LED 10м LSR5-2835WW120-8-IP65-220В - 3000K+ драйвер) IEK",1
41,080800139_,LSR5-2-120-65-2-10-S0,"Светодиодная лента ""Неон"" LED 10м LSR5-2835W120-8-IP65-220В-6500K+драйвер IEK",1
42,080800141_,LSR5-RGB-060-65-2-10-S0,"Светодиодная лента ""Неон"" LED 10м LSR5-5050RGB60-8-IP65-220В+драйвер IEK",1
43,080800138_,LSR5-2-120-65-2-05-S0,"Светодиодная лента ""Неон"" LED 5м LSR5-2835W120-8-IP65-220В-6500K+драйвер IEK",1
44,080800136_,LSR5-1-120-65-2-05-S0,"Светодиодная лента ""Неон"" LED 5м LSR5-2835WW120-8-IP65-220В-3000K+драйвер IEK",1
45,080800140_,LSR5-RGB-060-65-2-05-S0,"Светодиодная лента ""Неон"" LED 5м LSR5-5050RGB60-8-IP65-220В+драйвер IEK",1
46,080800130_,LSR1-1-060-20-1-D12-S3,"Светодиодная лента ""Сделай сам"" LED 1,2м LSR-2835WW60-4,8-IP20-12В-3000K+драйвер+датч движ IEK",1
47,080800129_,LSR1-1-060-20-1-2XD12-S3,"Светодиодная лента ""Сделай сам"" LED 2х1,2м LSR-2835WW60-4,8-IP20-12В-3000K+драйвер+2 датч движ IEK",1
48,080800132_,LSR1-2-060-20-1-05-S1,"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835W60-4,8-IP20-12В-6500K+драйвер+выкл IEK",1
49,080800133_,LSR1-2-060-65-1-05-S1,"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835W60-4,8-IP65-12В-6500K+драйвер+выкл IEK",1
50,080800128_,LSR1-1-060-20-1-05-S1,"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835WW60-4,8-IP20-12В-3000K+драйвер+выключатель IEK",1
51,080800131_,LSR1-1-060-65-1-05-S1,"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835WW60-4,8-IP65-12В-3000K+драйвер+выкл IEK",1
52,080800134_,LSR2-3-060-20-1-05-S2,"Светодиодная лента ""Сделай сам"" LED 5м LSR-5050RGB60-14,4-IP20-12В+драйвер+контр IEK",1
53,080800135_,LSR2-3-060-65-1-05-S2,"Светодиодная лента ""Сделай сам"" LED 5м LSR-5050RGB60-14,4-IP65-12В+драйвер+контр IEK",1
54,151000059_,LNPP0-1101-1-100-K01,НПП 1101-100  бел/круг IEK(8),1
55,151000061_,LNPP0-1102-1-100-K01,НПП 1102-100  бел/круг с реш. IEK(8),1
56,151000082_,LNPP0-1401-1-060-K01,НПП 1401-60  бел/овал IP54 IEK(12),1
57,151000175_,WSP20-10-K09, Переноска УП-1Р 10м. плоск. вилка IEK,1
58,151000137_,WSP20-05-K09, Переноска УП-1Р 5м (плоск. вилка) IEK,1
59,081100277_,LLE-A60-11-230-30-E27," LED A60 ""ECO"" 11w 230v 3000K E27 IEK(1)",10
60,081100278_,LLE-A60-11-230-40-E27," LED A60 ""ECO"" 11w 230v 4000K E27 IEK(1)",10
61,081100745_,LLE-T80-10-230-40-GX53,Лампа LED T75 таблетка 10Вт 230В 4000К GX53 IEK,10
62,081100746_,LLE-T80-10-230-65-GX53,Лампа LED T75 таблетка 10Вт 230В 6500К GX53 IEK,10
63,081100747_,LLE-T80-15-230-40-GX53,Лампа LED T75 таблетка 15Вт 230В 4000К GX53 IEK,10
64,081100635_,LLE-T80-15-230-65-GX53,Лампа LED T75 таблетка 15Вт 230В 6500К GX53 IEK,10
65,081100743_,LLE-T80-6-230-40-GX53,Лампа LED T75 таблетка 6Вт 230В 4000К GX53 IEK,10
66,081100744_,LLE-T80-6-230-65-GX53,Лампа LED T75 таблетка 6Вт 230В 6500К GX53 IEK,10
67,081100749_,LUVB0-GX53-1-K01,Светильник встраиваемый под лампу GX53 белый IEK,10
68,081100750_,LUPB0-GX53-1-K01,Светильник накладной под лампу GX53 белый IEK,10
69,081100706_,LLF-A60-9-230-30-E27-CLG,Лампа филаментная LED A60 шар золото  9Вт 230В 2700К E27 серия 360° IEK,10
70,081100702_,LLF-A60-11-230-30-E27-CLG,Лампа филаментная LED A60 шар золото 11Вт 230В 2700К E27 серия 360° IEK,10
71,081100703_,LLF-A60-7-230-30-E27-CL,Лампа филаментная LED A60 шар прозр.  7Вт 230В 3000К E27 серия 360° IEK,10
72,081100704_,LLF-A60-7-230-40-E27-CL,Лампа филаментная LED A60 шар прозр.  7Вт 230В 4000К E27 серия 360° IEK,10
73,081100705_,LLF-A60-7-230-65-E27-CL,Лампа филаментная LED A60 шар прозр.  7Вт 230В 6500К E27 серия 360° IEK,10
74,081100707_,LLF-A60-9-230-40-E27-CL,Лампа филаментная LED A60 шар прозр.  9Вт 230В 4000К E27 серия 360° IEK,10
75,081100708_,LLF-A60-9-230-65-E27-CL,Лампа филаментная LED A60 шар прозр.  9Вт 230В 6500К E27 серия 360° IEK,10
76,081100641_,LLF-A60-11-230-40-E27-CL,Лампа филаментная LED A60 шар прозр. 11Вт 230В 4000К E27 серия 360° IEK,10
77,151300040_,LLF-A60-11-230-65-E27-CL,Лампа филаментная LED A60 шар прозр. 11Вт 230В 6500К E27 серия 360° IEK,#N/A
78,081100709_,LLF-C35-5-230-30-E14-CLG,Лампа филаментная LED C35 свеча золото 5Вт 230В 2700К E14 серия 360° IEK,10
79,081100712_,LLF-C35-7-230-30-E14-CLG,Лампа филаментная LED C35 свеча золото 7Вт 230В 2700К E14 серия 360° IEK,10
