№,Номенклатура,Номенклатура.Код,Артикул,Кратность
19, Распределительная коробка с/у для твердых стен 102х15 карболит IP30 У-191 Systeme Electric (100),030300078_,U191,100
20, Распределительная коробка с/у для твердых стен 102х36 карболит IP30 У-192 Systeme Electric (56),030300014_,U192,56
21, Установочная коробка для полых стен г/к  65х45 IMT35150 Systeme Electric (210),030200193_,IMT35150,3780
22, Установочная коробка для полых стен г/к  65х60 IMT35151 System Electric(120),030201459_,IMT35151,120
23, Установочная коробка для твердых стен 65х45 IMT35100 Systeme Electric (200),030200192_,IMT35100,3600
24, Установочная коробка для твердых стен 65х60 IMT35101 Systeme Electric (120),030200201_,IMT35101,120
25,"A398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" алюминий ATN343 (10)",300200428_,ATN000343,10
26,"AtlasDesign PROFI IP54 О/У 1-клавишный кнопочный ВЫКЛЮЧАТЕЛЬ 10 АХ, АНТРАЦИТ !!!",ATN544015,ATN544015,12
27,"AtlasDesign PROFI IP54 О/У 1-клавишный кнопочный ВЫКЛЮЧАТЕЛЬ 10 АХ, БЕЛЫЙ !!!",ATN540115,ATN540115,12
28,"ATLASDESIGN РОЗЕТКА 16А c 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, ШАМПАНЬ",ATN000532,ATN000532,1
29,"ATLASDESIGN РОЗЕТКА 16А с 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, ПЕСОЧНЫЙ !!!",ATN001232,ATN001232,1
30,"B001 Выкл 1кл о/у  10А 250B""BLANCA"" антрацит BLNVA101006 (15)",300201148_,BLNVA101006,15
31,"B002 Выкл 2 кл о/у 10А 250B ""BLANCA"" антрацит BLNVA105016 (15)",300201149_,BLNVA105016,15
32,"B003 Роз. о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000116 (18)",300201150_,BLNRA000116,18
33,"B004 Роз. 2-ная о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000216 (10)",300201151_,BLNRA000216,10
34,"B005 Роз. 3-ная о/у без з/к без ш/т16А 250В ""BLANCA"" антрацит BLNRA000316 (6)",300201152_,BLNRA000316,6
35,"B006 Роз. 3-ная о/у с  з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010316 (5)",300201153_,BLNRA010316,5
36,"B007 Роз. 4-ная о/у без  з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000416 (5)",300201154_,BLNRA000416,5
37,"B008 Роз. 4-ная о/у с  з/к со ш/т 16А 250В ""BLANCA"" антрацит BLNRA011416 (4)",300201155_,BLNRA011416,4
38,"B009 Роз. о/у с з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010116 (12)",300200968_,BLNRA010116,12
39,"B010 Роз. 2-ная о/у с з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010216 (8)",300200967_,BLNRA010216,8
40,"Blanca Силовой Комплект О/У 2К+3 32А, 250В розетка, вилка, подъем.коробка",300200413_,BLNSK003231,6
41,City  9 ЩРВ-П 12 Прозрач./дв. Systeme Electric,010400436_,EZ9E112S2FRU,1
42,City 9 ЩРВ-П  8 Прозрач./дв. Systeme Electric,010400432_,EZ9E108S2FRU,1
43,City 9 ЩРВ-П 18 Прозрач./дв. Systeme Electric,010400440_,EZ9E118S2FRU,1
44,City 9 ЩРВ-П 24 Прозрач./дв. Systeme Electric,010400444_,EZ9E212S2FRU,1
45,City 9 ЩРВ-П 36 Прозрач./дв. Systeme Electric,010400447_,EZ9E312S2FRU,1
46,City 9 ЩРН-П  8 Прозрач./дв. Systeme Electric,010400433_,EZ9E108S2SRU,1
47,City 9 ЩРН-П 12 Прозрач./дв. Systeme Electric,010400437_,EZ9E112S2SRU,1
48,City 9 ЩРН-П 18 Прозрач./дв. Systeme Electric,010400441_,EZ9E118S2SRU,1
49,City 9 ЩРН-П 24 Прозрач./дв. Systeme Electric,010400445_,EZ9E212S2SRU,1
50,City 9 ЩРН-П 36 Прозрач./дв. Systeme Electric,010400448_,EZ9E312S2SRU,1
51,"G001 Роз. с з/к 16А механизм ""ARTGALLERY"" алюминий GAL0343 (10)",300200784_,GAL000343,10
52,"G002 Выкл. 1 кл 10А ""ARTGALLERY"" алюминий GAL0311 (10)",300200785_,GAL000311,10
53,"G003 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0313 (10)",300200786_,GAL000313,10
54,"G004 Выкл. 2 кл 10А механизм ""ARTGALLERY"" алюминий GAL0351 (10)",300200787_,GAL000351,10
55,"G005 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0353 (10)",300200788_,GAL000353,10
56,"G006 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" алюминий GAL0386 (5)",300200789_,GAL000386,5
57,"G007 Переключ. 1 кл механизм ""ARTGALLERY"" алюминий GAL0361 (10)",300200790_,GAL000361,10
58,"G008 Перекрест. переключ. 1 кл ""ARTGALLERY"" алюминий GAL0371 (5)",300200791_,GAL000371,5
59,"G009 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" алюминий GAL0388 (1)",300200792_,GAL000388,1
60,"G010 Роз. с з/к с/ш 16A механизм ""ARTGALLERY"" алюминий GAL0345 (10)",300200793_,GAL000345,10
61,"G011 Роз. TV оконечная механизм ""ARTGALLERY"" алюминий GAL0391 (5)",300200794_,GAL000391,5
62,"G012 Рамка 1-ная ""ARTGALLERY"" алюминий GAL0301 (20)",300200795_,GAL000301,20
63,"G013 Рамка 2-ная ""ARTGALLERY"" алюминий GAL0302 (10)",300200796_,GAL000302,10
64,"G014 Рамка 3-ная ""ARTGALLERY"" алюминий GAL0303 (5)",300200797_,GAL000303,5
65,"G015 Рамка 4-ная ""ARTGALLERY"" алюминий GAL0304 (5)",300200798_,GAL000304,5
66,"G016 Рамка 5-ная ""ARTGALLERY"" алюминий GAL0305 (5)",300200799_,GAL000305,5
67,"G017 Переключ. 2 кл механизм ""ARTGALLERY"" алюминий GAL0365 (10)",300200800_,GAL000365,10
68,"G018 Рамка 1-ная IP44 ""ARTGALLERY"" алюминий GAL440301 (10)",300200801_,GAL440301,10
69,"G019 Рамка 2-ная IP44 ""ARTGALLERY"" алюминий GAL440302 (5)",300200802_,GAL440302,5
70,"G020 Роз. с з/к с/ш с крышкой 16A механизм IP44 ""ARTGALLERY"" алюминий GAL440346 (10)",300200803_,GAL440346,10
71,"G021 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" алюминий GAL0315 (5)",300200804_,GAL000315,5
72,"G022 Вывод кабеля механизм ""ARTGALLERY"" алюминий GAL0399 (5)",300200805_,GAL000399,5
73,"G023 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" алюминий GAL0389 (5)",300200806_,GAL000389,5
74,"G024 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" алюминий GAL0329 (1)",300200807_,GAL000329,1
75,"G025 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" алюминий GAL0323 (1)",300200808_,GAL000323,1
76,"G026 Роз. с з/к с/ш LED 16A механизм IP20 ""ARTGALLERY"" алюминий GAL0346 (10)",300200809_,GAL000346,10
77,"G027 Роз. с з/к механизм 16A ""ARTGALLERY"" шампань GAL0543 (10)",300200810_,GAL000543,10
78,"G028 Роз. с з/к с/ш механизм ""ARTGALLERY"" шампань GAL0545 (10)",300200811_,GAL000545,10
79,"G029 Выкл. 1 кл 10А ""ARTGALLERY"" шампань GAL0511 (10)",300200812_,GAL000511,10
80,"G030 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" шампань GAL0513 (10)",300200813_,GAL000513,10
81,"G031 Выкл. 2 кл 10А механизм ""ARTGALLERY"" шампань GAL0551 (10)",300200814_,GAL000551,10
82,"G032 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" шампань GAL0553 (10)",300200815_,GAL000553,10
83,"G033 Роз. комп. RJ45, 6A механизм ""ARTGALLERY"" шампань GAL0586 (5)",300200816_,GAL000586,5
84,"G034 Переключ. 1 кл механизм ""ARTGALLERY"" шампань GAL0561 (10)",300200817_,GAL000561,10
85,"G035 Перекрест. переключ. 1 кл ""ARTGALLERY"" шампань GAL0571 (5)",300200818_,GAL000571,5
86,"G036 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" шампань GAL0588 (1)",300200819_,GAL000588,1
87,"G037 Роз. TV оконечная 1DB механизм ""ARTGALLERY"" шампань GAL0591 (5)",300200820_,GAL000591,5
88,"G038 Рамка 1-ная ""ARTGALLERY"" шампань GAL0501 (20)",300200821_,GAL000501,20
89,"G039 Рамка 2-ная ""ARTGALLERY"" шампань GAL0502 (10)",300200822_,GAL000502,10
90,"G040 Рамка 3-ная ""ARTGALLERY"" шампань GAL0503 (5)",300200823_,GAL000503,5
91,"G041 Рамка 4-ная ""ARTGALLERY"" шампань GAL0504 (5)",300200824_,GAL000504,5
92,"G042 Рамка 5-ная ""ARTGALLERY"" шампань GAL0505 (5)",300200825_,GAL000505,5
93,"G043 Переключ. 2 кл механизм ""ARTGALLERY"" шампань GAL0565 (10)",300200826_,GAL000565,10
94,"G044 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" шампань GAL0515 (5)",300200827_,GAL000515,5
95,"G045 Вывод кабеля механизм ""ARTGALLERY"" шампань GAL0599 (5)",300200828_,GAL000599,5
96,"G046 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" шампань GAL0589 (5)",300200829_,GAL000589,5
97,"G047 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" шампань GAL0529 (1)",300200830_,GAL000529,1
98,"G048 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" шампань GAL0523 (1)",300200831_,GAL000523,1
99,"G049 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" шампань GAL0546 (10)",300200832_,GAL000546,10
100,"G050 Выкл. 1 кл 10А ""ARTGALLERY"" лотос GAL1311 (5)",300200833_,GAL001311,5
101,"G051 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" лотос GAL1313 (5)",300200834_,GAL001313,5
102,"G052 Выкл. 2 кл 10А механизм ""ARTGALLERY"" лотос GAL1351 (5)",300200835_,GAL001351,5
103,"G053 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" лотос GAL1353 (5)",300200836_,GAL001353,5
104,"G054 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" лотос GAL1323 (1)",300200837_,GAL001323,1
105,"G055 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" лотос GAL1386 (5)",300200838_,GAL001386,5
106,"G056 Переключ. 1 кл механизм ""ARTGALLERY"" лотос GAL1361 (5)",300200839_,GAL001361,5
107,"G057 Перекрест. переключ. 1 кл ""ARTGALLERY"" лотос GAL1371 (5)",300200840_,GAL001371,5
108,"G058 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" лотос GAL1388 (1)",300200841_,GAL001388,1
109,"G059 Роз. с з/к 16А механизм ""ARTGALLERY"" лотос GAL1343 (5)",300200842_,GAL001343,5
110,"G060 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" лотос GAL1345 (5)",300200843_,GAL001345,5
111,"G061 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" лотос GAL1346 (5)",300200844_,GAL001346,5
112,"G062 Роз. TV оконечная механизм ""ARTGALLERY"" лотос GAL1391 (5)",300200845_,GAL001391,5
113,"G063 Рамка 1-ная ""ARTGALLERY"" лотос GAL1301 (10)",300200846_,GAL001301,10
114,"G064 Рамка 2-ная ""ARTGALLERY"" лотос GAL1302 (5)",300200847_,GAL001302,5
115,"G065 Рамка 3-ная ""ARTGALLERY"" лотос GAL1303 (5)",300200848_,GAL001303,5
116,"G066 Рамка 4-ная ""ARTGALLERY"" лотос GAL1304 (5)",300200849_,GAL001304,5
117,"G067 Рамка 5-ная ""ARTGALLERY"" лотос GAL1305 (5)",300200850_,GAL001305,5
118,"G068 Переключ. 2 кл механизм ""ARTGALLERY"" лотос GAL1365 (5)",300200851_,GAL001365,5
119,"G069 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" лотос GAL1315 (5)",300200852_,GAL001315,5
120,"G070 Вывод кабеля механизм ""ARTGALLERY"" лотос GAL1399 (5)",300200853_,GAL001399,5
121,"G071 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" лотос GAL1389 (5)",300200854_,GAL001389,5
122,"G072 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" лотос GAL1329 (1)",300200855_,GAL001329,1
123,"G073 Роз. с з/к 16А механизм ""ARTGALLERY"" карбон GAL1043 (5)",300200856_,GAL001043,5
124,"G074 Выкл. 1 кл 10А ""ARTGALLERY"" карбон GAL1011 (5)",300200857_,GAL001011,5
125,"G075 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" карбон GAL1013 (5)",300200858_,GAL001013,5
126,"G076 Выкл. 2 кл 10А механизм ""ARTGALLERY"" карбон GAL1051 (5)",300200859_,GAL001051,5
127,"G077 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" карбон GAL1053 (5)",300200860_,GAL001053,5
128,"G078 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" карбон GAL1086 (5)",300200861_,GAL001086,5
129,"G079 Переключ. 1 кл механизм ""ARTGALLERY"" карбон GAL1061 (5)",300200862_,GAL001061,5
130,"G080 Перекрест. переключ. 1 кл ""ARTGALLERY"" карбон GAL1071 (5)",300200863_,GAL001071,5
131,"G081 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" карбон GAL1088 (1)",300200864_,GAL001088,1
132,"G082 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" карбон GAL1045 (5)",300200865_,GAL001045,5
133,"G083 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" карбон GAL1046 (5)",300200866_,GAL001046,5
134,"G084 Роз. TV оконечная механизм ""ARTGALLERY"" карбон GAL1091 (5)",300200867_,GAL001091,5
135,"G085 Рамка 1-ная ""ARTGALLERY"" карбон GAL1001 (10)",300200868_,GAL001001,10
136,"G086 Рамка 2-ная ""ARTGALLERY"" карбон GAL1002 (5)",300200869_,GAL001002,5
137,"G087 Рамка 3-ная ""ARTGALLERY"" карбон GAL1003 (5)",300200870_,GAL001003,5
138,"G088 Рамка 4-ная ""ARTGALLERY"" карбон GAL1004 (5)",300200871_,GAL001004,5
139,"G089 Рамка 5-ная ""ARTGALLERY"" карбон GAL1005 (5)",300200872_,GAL001005,5
140,G090 Переключ. 2 кл механизм карбон GAL1065 (5),300200873_,GAL001065,5
141,"G091 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" карбон GAL1023 (1)",300200874_,GAL001023,1
142,"G092 Роз. с з/к с/ш с крышкой 16А механизм IP44 ""ARTGALLERY"" карбон GAL441046 (5)",300200875_,GAL441046,5
143,"G093 Рамка 1-ная IP44 ""ARTGALLERY"" карбон GAL441001 (5)",300200876_,GAL441001,5
144,"G094 Рамка 2-ная IP44 ""ARTGALLERY"" карбон GAL441002 (5)",300200877_,GAL441002,5
145,"G095 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" карбон GAL1015 (5)",300200878_,GAL001015,5
146,"G096 Вывод кабеля механизм ""ARTGALLERY"" карбон    GAL1099 (5)",300200879_,GAL001099,5
147,"G097 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" карбон GAL1089 (5)",300200880_,GAL001089,5
148,"G098 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" карбон GAL1029 (1)",300200881_,GAL001029,1
149,"G099 Рамка 1-ная ""ARTGALLERY"" золото GAL1601 (5)",300200882_,GAL001601,10
150,"G100 Рамка 2-ная ""ARTGALLERY"" золото GAL1602 (5)",300200883_,GAL001602,5
151,"G101 Рамка 3-ная ""ARTGALLERY"" золото GAL1603 (5)",300200884_,GAL001603,5
152,"G102 Рамка 4-ная ""ARTGALLERY"" золото GAL1604 (5)",300200885_,GAL001604,5
153,"G103 Рамка 5-ная ""ARTGALLERY"" золото GAL1605 (5)",300200886_,GAL001605,5
154,"G104 Роз. с з/к 16А механизм ""ARTGALLERY"" сталь GAL0943 (5)",300200887_,GAL000943,5
155,"G105 Выкл. 1 кл 10А ""ARTGALLERY"" сталь GAL0911 (5)",300200888_,GAL000911,5
156,"G106 Выкл. 1 кл с инд механизм ""ARTGALLERY"" сталь GAL0913 (5)",300200889_,GAL000913,5
157,"G107 Выкл. 2 кл 10А механизм ""ARTGALLERY"" сталь GAL0951 (5)",300200890_,GAL000951,5
158,"G109 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" сталь GAL0986 (5)",300200892_,GAL000986,5
159,"G110 Переключ. 1 кл механизм ""ARTGALLERY"" сталь GAL0961 (5)",300200893_,GAL000961,5
160,"G111 Перекрест. переключ. 1 кл ""ARTGALLERY"" сталь GAL0971 (5)",300200894_,GAL000971,5
161,"G112 Роз. 2-ная комп. RJ45+RJ45 6А механизм ""ARTGALLERY"" сталь GAL0988 (1)",300200895_,GAL000988,1
162,"G113 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" сталь GAL0945 (5)",300200896_,GAL000945,5
163,"G114 Роз. TV оконечная механизм ""ARTGALLERY"" сталь GAL0991 (5)",300200897_,GAL000991,5
164,"G115 Рамка 1-ная ""ARTGALLERY"" сталь GAL0901 (10)",300200898_,GAL000901,10
165,"G116 Рамка 2-ная ""ARTGALLERY"" сталь GAL0902 (5)",300200899_,GAL000902,5
166,"G117 Рамка 3-ная ""ARTGALLERY"" сталь GAL0903 (5)",300200900_,GAL000903,5
167,"G118 Рамка 4-ная ""ARTGALLERY"" сталь GAL0904 (5)",300200901_,GAL000904,5
168,"G119 Рамка 5-ная ""ARTGALLERY"" сталь GAL0905 (5)",300200902_,GAL000905,5
169,"G120 Переключ. 2 кл механизм ""ARTGALLERY"" сталь GAL0965 (5)",300200903_,GAL000965,5
170,"G121 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" сталь GAL0915 (5)",300200904_,GAL000915,5
171,"G122 Вывод кабеля механизм ""ARTGALLERY"" сталь    GAL0999 (5)",300200905_,GAL000999,5
172,"G123 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" сталь GAL0989 (5)",300200906_,GAL000989,5
173,"G124 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" сталь GAL0929 (1)",300200907_,GAL000929,1
174,"G125 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" сталь GAL0923 (1)",300200908_,GAL000923,1
175,"G126 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" сталь GAL0946 (5)",300200909_,GAL000946,5
176,"G127 Роз. с з/к 16А механизм ""ARTGALLERY"" мокко GAL0643 (10)",300200910_,GAL000643,10
177,"G128 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" мокко GAL0645 (10)",300200911_,GAL000645,10
178,"G129 Выкл. 1 кл 10А ""ARTGALLERY"" мокко GAL0611 (10)",300200912_,GAL000611,10
179,"G130 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" мокко GAL0613 (10)",300200913_,GAL000613,10
180,"G131 Выкл. 2 кл 10А механизм ""ARTGALLERY"" мокко GAL0651 (10)",300200914_,GAL000651,10
181,"G132 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" мокко GAL0653 (10)",300200915_,GAL000653,10
182,"G133 Роз. комп. RJ45 6A механизм, ""ARTGALLERY"" мокко GAL0686 (5)",300200916_,GAL000686,5
183,"G134 Переключ. 1 кл механизм ""ARTGALLERY"" мокко GAL0661 (10)",300200917_,GAL000661,10
184,"G135 Перекрест. переключ. 1 кл ""ARTGALLERY"" мокко GAL0671 (5)",300200918_,GAL000671,5
185,"G136 Роз. 2-ная комп. RJ45+RJ45 6А механизм ""ARTGALLERY"" мокко GAL0688 (1)",300200919_,GAL000688,1
186,"G137 Роз. TV оконечная механизм ""ARTGALLERY"" мокко GAL0691 (5)",300200920_,GAL000691,5
187,"G138 Рамка 1-ная ""ARTGALLERY"" мокко GAL0601 (20)",300200921_,GAL000601,20
188,"G139 Рамка 2-ная ""ARTGALLERY"" мокко GAL0602 (10)",300200922_,GAL000602,10
189,"G140 Рамка 3-ная ""ARTGALLERY"" мокко GAL0603 (5)",300200923_,GAL000603,5
190,"G141 Рамка 4-ная ""ARTGALLERY"" мокко GAL0604 (5)",300200924_,GAL000604,5
191,"G142 Рамка 5-ная ""ARTGALLERY"" мокко GAL0605 (5)",300200925_,GAL000605,5
192,"G143 Переключ. 2 кл механизм ""ARTGALLERY"" мокко GAL0665 (10)",300200926_,GAL000665,10
193,"G144 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" мокко GAL0615 (5)",300200927_,GAL000615,5
194,"G145 Вывод кабеля механизм ""ARTGALLERY"" мокко GAL0699 (5)",300200928_,GAL000699,5
195,"G146 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" мокко GAL0689 (5)",300200929_,GAL000689,5
196,"G147 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" мокко GAL0629 (1)",300200930_,GAL000629,1
197,"G148 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" мокко GAL0623 (1)",300200931_,GAL000623,1
198,"G149 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" мокко GAL0646 (10)",300200932_,GAL000646,10
199,"G150 Роз. с з/к 16А механизм ""ARTGALLERY"" базальт GAL1443 (5)",300200933_,GAL001443,5
200,"G151 Выкл. 1 кл 10А ""ARTGALLERY"" базальт GAL1411 (5)",300200934_,GAL001411,5
201,"G152 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" базальт GAL1413 (5)",300200935_,GAL001413,5
202,"G153 Выкл. 2 кл 10А механизм ""ARTGALLERY"" базальт GAL1451 (5)",300200936_,GAL001451,5
203,"G154 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" базальт GAL1453 (5)",300200937_,GAL001453,5
204,"G155 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" базальт GAL1486 (5)",300200938_,GAL001486,5
205,"G156 Переключ. 1 кл механизм ""ARTGALLERY"" базальт GAL1461 (5)",300200939_,GAL001461,5
206,"G157 Перекрест. переключ. 1 кл ""ARTGALLERY"" базальт GAL1471 (5)",300200940_,GAL001471,5
207,"G158 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" базальт GAL1488 (1)",300200941_,GAL001488,1
208,"G159 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" базальт GAL1445 (5)",300200942_,GAL001445,5
209,"G160 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" базальт GAL1446 (5)",300200943_,GAL001446,5
210,"G161 Роз. TV оконечная 1DB механизм ""ARTGALLERY"" базальт GAL1491 (5)",300200944_,GAL001491,5
211,"G162 Рамка 1-ная ""ARTGALLERY"" базальт GAL1401 (10)",300200945_,GAL001401,10
212,"G163 Рамка 2-ная ""ARTGALLERY"" базальт GAL1402 (5)",300200946_,GAL001402,5
213,"G164 Рамка 3-ная ""ARTGALLERY"" базальт GAL1403 (5)",300200947_,GAL001403,5
214,"G165 Рамка 4-ная ""ARTGALLERY"" базальт GAL1404 (5)",300200948_,GAL001404,5
215,"G166 Рамка 5-ная ""ARTGALLERY"" базальт GAL1405 (5)",300200949_,GAL001405,5
216,"G167 Переключ. 2 кл механизм ""ARTGALLERY"" базальт GAL1465 (5)",300200950_,GAL001465,5
217,"G168 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" базальт GAL1423 (1)",300200951_,GAL001423,1
218,"G169 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" базальт GAL1415 (5)",300200952_,GAL001415,5
219,"G170 Вывод кабеля механизм ""ARTGALLERY"" базальт GAL1499 (5)",300200953_,GAL001499,5
220,"G171 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" базальт GAL1489 (5)",300200954_,GAL001489,5
221,"G172 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" базальт GAL1429 (1)",300200955_,GAL001429,1
222,"G384 Выкл 1 кл 10А с/у ""ATLAS"" жемчуг ATN412 (10)",300200371_,ATN000412,10
223,"G385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" жемчуг ATN413 (10)",300200420_,ATN000413,10
224,"G386 Выкл 2 кл 10А с/у ""ATLAS"" жемчуг ATN452 (10)",300200375_,ATN000452,10
225,"G387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" жемчуг ATN453 (10)",300200422_,ATN000453,10
226,"G388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN431 (10)",300200363_,ATN000431,10
227,"G390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" жемчуг ATN483 (10)",300200368_,ATN000483,5
228,"G391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN461 (10)",300200367_,ATN000461,10
229,"G392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" жемчуг ATN463 (10)",300200426_,ATN000463,10
