№,Номенклатура,Номенклатура.Код,Артикул,Кратность
,,,,
1," S174  (1кл, инд с/у 16А, IP44) Переключатель ""Wessen 59"" ВС 616-157Б-18 (60) !!!",030200128_,VS616-157B-18,1
2," S179   2кл с/у 16А  ""Wessen 59"" ВС 510-252-18 (10/60) !!!",030200382_,VS510-252-18,1
3," S183  Переключатель 1кл, с инд.,с/у 16А ""Wessen 59"" ВС 616-157-18 (60) !!!",030200127_,VS616-157-18,1
4," S184  Диммер (с/у 600Вт) ""Wessen 59"" ВПП-5С2-18(2/16) !!!",030200141_,SR-5S2-18,1
5," S185 роз-ТВ. с\у  ""Wessen 59"" РТС 151-18 (60) !!!",030200096_,RTS-151-18,1
6," S186  с/у. з/ш 16А  ""Wessen 59""  РС 16-151-18 (10/60) !!!",030200072_,RS16-151-18,1
7," S187 с/у. з/ш. з/к.16А ""Wessen 59"" РС 16-152-18 (10/60) !!!",030200093_,RS16-152-18,20
8," S188   с/у. з/ш, 2-я 16А  ""Wessen 59"" РС 16-254-18 (6/36) !!!",030200135_,RS16-254-18,12
9," S189  с/у. з/ш, з,к, 2-я 16А  ""Wessen 59"" РС 16-255-18 (6/36) !!!",030200136_,RS16-255-18,6
10," S190  с/у. з/ш. з/к.16А, IP44 ""Wessen 59"" РС 16-152Б-18 (10/60) !!!",030200134_,RS16-152B-18,10
11," S191 роз тел. с\у 1А ""Wessen 59"" РСИ 152 Т-18 (60) !!!",030200094_,RSI-152T-18,1
12," S192 роз информ. с\у 1А  ""Wessen 59"" РСИ 152 К5Е-18 (60) !!!",030200090_,RSI-152K5E-18,1
13," S194 2-я роз тел/комп с\у 1А  ""Wessen 59"" РСИ 251 ТК5Е-18 (60) !!!",030200095_,RSI-251TK5E-18,1
14," S195 2-я роз информ. с\у 1А  ""Wessen 59"" РСИ 251 КК5Е-1-86 (60) !!!",030200142_,RSI-251KK5E-1-86,10
15, Распределительная коробка с/у для твердых стен  70х40 IP30 IMT35120 Systeme Electric (175),280300174_,IMT35120,175
16, Распределительная коробка с/у для твердых стен  75х30 карболит IP30 У-195 Systeme Electric (108),030300013_,U195,108
17, Распределительная коробка с/у для твердых стен 100х100х50 IP30 IMT35122 Systeme Electric (72),030200220_,IMT35122,72
18, Распределительная коробка с/у для твердых стен 100х50 IP30 IMT35121 Systeme Electric (84),030200219_,IMT35121,84
