,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,ИТОГО,
2024,24596427,22395512,44147660,62276496.32,73462110,68345412,71289315.98,91399515.64,99082123,88432469,82883679,65881945,794192664.94,
2025,60612221,70526214,62394638.9,80289436.03,77227054,80386586,79580845.35,85147826.95,75393744,70827551,72949510,71608529.44,886944156.6700001,
2026,51463402,57127585,49906664.43,61255146,59215517,68110627,72110849.17,70105174.18,45371784.46,,,,534666749.24,
,,,,,,,,,,,,,,
,Сезонность по годам,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Месяц,Продажи 2024,Коэф. сезонности,Доля в году,Продажи 2025,Коэф. сезонности 2025,Доля в году 2025,Продажи 2026,Коэф. сезонности 2026,Доля в году 2026,СЕЗОННОСТЬ,Год,Среднемес.,Итого за год
,янв,24596427,0.37164423323186774,0.030970352769322314,60612221,0.8200591283342988,0.0683382606945249,51463402,0.8662790769360019,0.09625323077066687,0.8431691026351504,2024,66182722.07833334,794192664.94
,фев,22395512,0.33838910363180363,0.028199091969316973,70526214,0.9541914918042389,0.07951595765035324,57127585,0.9616237885202962,0.10684708761336624,0.9579076401622675,2025,73912013.05583334,886944156.6700001
,мар,44147660,0.6670571806905612,0.05558809839088011,62394638.9,0.8441745302332236,0.0703478775194353,49906664.43,0.8400746455777486,0.09334162728641651,0.8421245879054862,2026,59407416.58222222,534666749.24
,апр,62276496.32,0.9409781641542341,0.07841484701285284,80289436.03,1.0862839843010248,0.09052366535841873,61255146,1.0311026724284575,0.11456696360316196,1.058693328364741,,,
,май,73462110,1.1099892493550028,0.09249910411291691,77227054,1.0448511792211974,0.08707093160176645,59215517,0.9967697706235613,0.11075219673595126,1.0208104749223794,Поправка 2026/2025 (янв-сен),0.9905437156983194,
,июн,68345412,1.0326775607553118,0.086056463396276,80386586,1.08759838457215,0.09063319871434583,68110627,1.1465004021127931,0.12738893356808814,1.1170493933424717,,,
,июл,71289315.98,1.0771590188693438,0.08976325157244533,79580845.35,1.07669703556693,0.08972475296391084,72110849.17,1.2138358023058573,0.1348706447006508,1.1452664189363937,,,
,авг,91399515.64,1.3810177757847473,0.11508481464872895,85147826.95,1.152016071943259,0.09600133932860493,70105174.18,1.1800744454688021,0.1311193828298669,1.1660452587060306,,,
,сен,99082123,1.4970995433328838,0.12475829527774031,75393744,1.0200472275467232,0.08500393562889359,45371784.46,0.7637393960264818,0.08485993289183132,0.8918933117866025,,,
,окт,88432469,1.3361866393970927,0.1113488866164244,70827551,0.9582684609942456,0.07985570508285379,0,0,0,0.9537376314919979,,,
,ноя,82883679,1.2523461773285713,0.10436218144404762,72949510,0.9869777182890924,0.0822481431907577,0,0,0,0.9823111473373096,,,
,дек,65881945,0.9954553534685784,0.0829546127890482,71608529.44,0.9688347871936152,0.08073623226613459,0,0,0,0.9642539985990847,,,
,Итого,794192664.94,1,1,886944156.6700001,0.9999999999999997,0.9999999999999998,534666749.24,0.75,1,0.9952718578491598,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
