Номенклатура,Номенклатура.Код,Артикул,Кратность,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
 Распределительная коробка с/у для твердых стен  70х40 IP30 IMT35120 Systeme Electric (175),280300174_,IMT35120,175,596,229,347,824,1433,1162,843,237,776,1211,1005,373,579,383,944,614,480,764,581,621,959,164,265,227,878,1411,1586,106,535,227,1232,1701,398,23691
 Распределительная коробка с/у для твердых стен  75х30 карболит IP30 У-195 Systeme Electric (108),030300013_,U195,108,54,20,109,,,50,50,15,71,20,6,50,149,111,108,1,,,3,195,,80,2,,8,,,,,,,,,1102
 Распределительная коробка с/у для твердых стен 100х100х50 IP30 IMT35122 Systeme Electric (72),030200220_,IMT35122,72,814,52,359,1487,1257,1217,1978,2181,1444,1525,1505,872,747,1307,906,1229,1883,2328,1252,1464,973,1661,1287,892,860,736,1267,1202,2037,1841,1635,1662,1092,42952
 Распределительная коробка с/у для твердых стен 100х50 IP30 IMT35121 Systeme Electric (84),030200219_,IMT35121,84,991,8156,1109,2538,3320,1846,3399,2723,2476,2858,1388,1186,5141,3492,3656,3658,3963,5211,10609,7696,4320,2560,10940,2129,2278,13213,1574,3427,15087,4807,3680,3555,2979,145965
 Распределительная коробка с/у для твердых стен 102х15 карболит IP30 У-191 Systeme Electric (100),030300078_,U191,100,,,,2,3,59,31,,30,2,46,10,1,10,10,,,40,60,95,,,1,,,5,,,,,5,5,2,417
 Распределительная коробка с/у для твердых стен 102х36 карболит IP30 У-192 Systeme Electric (56),030300014_,U192,56,50,55,80,56,156,111,251,250,216,201,142,3,,34,1814,191,1395,,601,361,241,912,324,61,301,506,260,392,1,295,9,5,186,9460
 Установочная коробка для полых стен г/к  65х45 IMT35150 Systeme Electric (210),030200193_,IMT35150,3780,16194,1997,4511,17153,14937,18705,17311,21000,16565,22804,17450,13211,16307,22560,21882,25710,17627,25136,23583,22259,15925,25149,27153,24955,18659,24170,21684,23991,24783,29064,39200,36290,27768,695693
 Установочная коробка для полых стен г/к  65х60 IMT35151 System Electric(120),030201459_,IMT35151,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,4717,6747,4209,3754,2870,23414
 Установочная коробка для твердых стен 65х45 IMT35100 Systeme Electric (200),030200192_,IMT35100,3600,30221,9565,25484,42968,32348,41426,40484,50017,65894,42301,40967,36204,53478,43751,54311,52084,50676,62934,60436,50757,53879,61615,67138,45625,35240,33467,42728,49395,53354,64228,66114,63939,50941,1573969
 Установочная коробка для твердых стен 65х60 IMT35101 Systeme Electric (120),030200201_,IMT35101,120,10996,2295,8418,15383,11814,15101,11394,14308,19166,14688,14065,11283,20124,14561,15620,19797,20724,19636,21655,18797,25145,22466,15980,17255,17268,14645,19937,25870,23330,24199,26986,25401,21765,580072
"A398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" алюминий ATN343 (10)",300200428_,ATN000343,10,346,335,233,525,546,541,508,707,359,384,253,530,610,394,444,104,589,413,379,170,806,212,353,724,111,152,380,209,122,310,135,124,81,12089
"AtlasDesign PROFI IP54 О/У 1-клавишный кнопочный ВЫКЛЮЧАТЕЛЬ 10 АХ, АНТРАЦИТ !!!",ATN544015,ATN544015,12,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6
"AtlasDesign PROFI IP54 О/У 1-клавишный кнопочный ВЫКЛЮЧАТЕЛЬ 10 АХ, БЕЛЫЙ !!!",ATN540115,ATN540115,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,5
"ATLASDESIGN РОЗЕТКА 16А c 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, ШАМПАНЬ",ATN000532,ATN000532,1,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,9
"ATLASDESIGN РОЗЕТКА 16А с 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, ПЕСОЧНЫЙ !!!",ATN001232,ATN001232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,4
"B001 Выкл 1кл о/у  10А 250B""BLANCA"" антрацит BLNVA101006 (15)",300201148_,BLNVA101006,15,,,,,,,,,,,,,,,,,24,83,38,22,52,101,84,67,38,34,43,60,40,40,38,72,52,888
"B002 Выкл 2 кл о/у 10А 250B ""BLANCA"" антрацит BLNVA105016 (15)",300201149_,BLNVA105016,15,,,,,,,,,,,,,,,,,9,79,28,16,37,47,23,30,8,9,12,17,7,48,9,28,27,434
"B003 Роз. о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000116 (18)",300201150_,BLNRA000116,18,,,,,,,,,,,,,,,,,2,59,2,4,9,19,16,3,5,2,1,6,13,4,1,19,,165
"B004 Роз. 2-ная о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000216 (10)",300201151_,BLNRA000216,10,,,,,,,,,,,,,,,,2,17,66,12,15,222,43,27,58,10,14,13,23,23,8,17,23,36,629
"B005 Роз. 3-ная о/у без з/к без ш/т16А 250В ""BLANCA"" антрацит BLNRA000316 (6)",300201152_,BLNRA000316,6,,,,,,,,,,,,,,,,,2,33,67,9,,24,7,40,11,7,1,1,,24,16,1,1,244
"B006 Роз. 3-ная о/у с  з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010316 (5)",300201153_,BLNRA010316,5,,,,,,,,,,,,,,,,24,17,54,38,31,121,47,51,130,29,103,32,50,29,33,39,58,33,919
"B007 Роз. 4-ная о/у без  з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000416 (5)",300201154_,BLNRA000416,5,,,,,,,,,,,,,,,,,6,18,6,9,1,23,35,8,2,5,1,2,1,10,6,14,,147
"B008 Роз. 4-ная о/у с  з/к со ш/т 16А 250В ""BLANCA"" антрацит BLNRA011416 (4)",300201155_,BLNRA011416,4,,,,,,,,,,,,,,,,,3,31,31,22,22,15,23,86,45,21,158,42,15,22,17,43,20,616
"B009 Роз. о/у с з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010116 (12)",300200968_,BLNRA010116,12,,,,,,,,,,,,,,,,4,78,62,100,34,85,138,46,69,45,34,36,123,24,60,36,78,33,1085
"B010 Роз. 2-ная о/у с з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010216 (8)",300200967_,BLNRA010216,8,,,,,,,,,,,,,,,,,59,75,71,112,66,301,112,178,106,249,239,212,65,153,122,251,211,2582
"Blanca Силовой Комплект О/У 2К+3 32А, 250В розетка, вилка, подъем.коробка",300200413_,BLNSK003231,6,1,,2,12,16,10,12,28,46,7,5,33,10,7,12,31,11,12,1,17,6,20,10,15,9,13,15,11,13,9,8,29,7,438
City  9 ЩРВ-П 12 Прозрач./дв. Systeme Electric,010400436_,EZ9E112S2FRU,1,20,3,21,79,58,81,100,100,69,105,114,42,69,40,25,47,27,77,84,33,49,61,25,13,11,6,9,30,22,20,25,17,12,1494
City 9 ЩРВ-П  8 Прозрач./дв. Systeme Electric,010400432_,EZ9E108S2FRU,1,11,7,2,17,4,28,43,95,21,32,15,12,15,3,10,13,8,7,5,18,1,12,5,2,5,1,6,8,2,9,6,3,,426
City 9 ЩРВ-П 18 Прозрач./дв. Systeme Electric,010400440_,EZ9E118S2FRU,1,8,3,5,59,62,30,39,73,30,58,44,19,28,32,40,43,41,40,42,38,28,27,17,22,19,18,6,19,17,22,17,9,8,963
City 9 ЩРВ-П 24 Прозрач./дв. Systeme Electric,010400444_,EZ9E212S2FRU,1,61,2,19,149,115,133,128,152,124,140,128,96,105,96,99,93,102,104,114,105,84,58,34,40,33,40,13,57,55,53,32,42,20,2626
City 9 ЩРВ-П 36 Прозрач./дв. Systeme Electric,010400447_,EZ9E312S2FRU,1,41,21,62,105,74,103,122,143,98,129,89,74,48,85,73,96,73,47,90,81,45,50,34,34,27,37,36,46,48,40,29,33,24,2137
City 9 ЩРН-П  8 Прозрач./дв. Systeme Electric,010400433_,EZ9E108S2SRU,1,3,2,3,30,42,16,41,51,66,72,34,59,30,26,2,12,5,11,18,68,-6,9,6,12,3,2,4,13,7,8,15,72,7,743
City 9 ЩРН-П 12 Прозрач./дв. Systeme Electric,010400437_,EZ9E112S2SRU,1,2,,9,59,56,40,46,91,81,99,79,18,36,32,21,21,51,35,60,48,73,44,38,27,24,13,10,11,13,34,48,18,19,1256
City 9 ЩРН-П 18 Прозрач./дв. Systeme Electric,010400441_,EZ9E118S2SRU,1,,,2,30,32,23,40,41,19,120,10,59,52,19,16,22,13,18,17,34,16,13,29,22,6,15,15,9,17,13,19,14,11,766
City 9 ЩРН-П 24 Прозрач./дв. Systeme Electric,010400445_,EZ9E212S2SRU,1,13,2,9,33,28,23,27,77,54,67,46,33,27,16,23,48,28,48,49,34,34,62,34,21,20,7,17,9,16,16,17,23,19,980
City 9 ЩРН-П 36 Прозрач./дв. Systeme Electric,010400448_,EZ9E312S2SRU,1,17,2,5,24,36,26,18,54,35,26,31,49,15,15,18,35,21,26,40,12,14,37,13,22,11,6,10,15,10,13,19,20,13,708
"G001 Роз. с з/к 16А механизм ""ARTGALLERY"" алюминий GAL0343 (10)",300200784_,GAL000343,10,,,,,,,,24,187,77,55,213,4,78,,31,53,40,69,54,56,66,39,,,4,-10,,,1,106,87,59,1293
"G002 Выкл. 1 кл 10А ""ARTGALLERY"" алюминий GAL0311 (10)",300200785_,GAL000311,10,,,,,,,,24,86,7,15,49,2,15,1,3,14,20,16,23,-3,12,8,1,,2,-9,3,,,5,7,14,315
"G003 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0313 (10)",300200786_,GAL000313,10,,,,,,,,10,31,,,,,,,,,,,,-10,,,,,,-17,,,,,,,14
"G004 Выкл. 2 кл 10А механизм ""ARTGALLERY"" алюминий GAL0351 (10)",300200787_,GAL000351,10,,,,,,,,20,65,8,11,42,,14,1,14,10,,1,3,7,,,,,1,-28,,,2,21,,8,200
"G005 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" алюминий GAL0353 (10)",300200788_,GAL000353,10,,,,,,,,10,29,,,,,,,,,,,,-9,6,2,,2,4,-19,,,,,10,,35
"G006 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" алюминий GAL0386 (5)",300200789_,GAL000386,5,,,,,,,,6,23,16,,28,,15,-1,,18,,,2,-2,,,,1,1,-3,,,,36,,,140
"G007 Переключ. 1 кл механизм ""ARTGALLERY"" алюминий GAL0361 (10)",300200790_,GAL000361,10,,,,,,,,10,19,2,13,12,,10,,,26,10,8,4,-7,2,,4,,,-4,,,,4,8,,121
"G008 Перекрест. переключ. 1 кл ""ARTGALLERY"" алюминий GAL0371 (5)",300200791_,GAL000371,5,,,,,,,,5,20,3,,1,,3,,,1,12,,,-3,,,1,,,-9,,,,,,,34
"G009 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" алюминий GAL0388 (1)",300200792_,GAL000388,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,4
"G010 Роз. с з/к с/ш 16A механизм ""ARTGALLERY"" алюминий GAL0345 (10)",300200793_,GAL000345,10,,,,,,,,20,10,10,2,,,,,,,,1,,-17,,,,,,,,,,,,,26
"G011 Роз. TV оконечная механизм ""ARTGALLERY"" алюминий GAL0391 (5)",300200794_,GAL000391,5,,,,,,,,5,23,,,7,1,3,,2,,,,2,-5,,4,,,,-10,,,,,,,32
"G012 Рамка 1-ная ""ARTGALLERY"" алюминий GAL0301 (20)",300200795_,GAL000301,20,,,,,,,,34,178,29,51,121,3,26,,6,69,1,35,30,25,38,20,2,3,8,-37,,,,38,30,22,732
"G013 Рамка 2-ная ""ARTGALLERY"" алюминий GAL0302 (10)",300200796_,GAL000302,10,,,,,,,,30,85,22,15,55,,21,,,22,,18,38,-19,16,5,,,,2,3,,,38,2,14,367
"G014 Рамка 3-ная ""ARTGALLERY"" алюминий GAL0303 (5)",300200797_,GAL000303,5,,,,,,,,20,29,17,3,16,,8,1,2,2,,8,3,-12,8,3,,,,-8,1,,1,9,5,3,119
"G015 Рамка 4-ная ""ARTGALLERY"" алюминий GAL0304 (5)",300200798_,GAL000304,5,,,,,,,,10,21,2,2,20,,12,,,,,2,5,-7,1,,,,,-7,,,,6,2,3,72
"G016 Рамка 5-ная ""ARTGALLERY"" алюминий GAL0305 (5)",300200799_,GAL000305,5,,,,,,,,10,19,2,,,,,,1,,,,,-9,,,,,,-10,,,,1,3,1,18
"G017 Переключ. 2 кл механизм ""ARTGALLERY"" алюминий GAL0365 (10)",300200800_,GAL000365,10,,,,,,,,10,19,14,17,2,,7,,,3,,9,,-7,4,,1,,,-9,,,,,,,70
"G018 Рамка 1-ная IP44 ""ARTGALLERY"" алюминий GAL440301 (10)",300200801_,GAL440301,10,,,,,,,,6,10,10,,20,-20,,1,,2,,,,-6,4,,,2,8,,,,,10,,,47
"G019 Рамка 2-ная IP44 ""ARTGALLERY"" алюминий GAL440302 (5)",300200802_,GAL440302,5,,,,,,,,,10,10,,,,3,-1,,,,,,,,,,,,,,,,,20,,42
"G020 Роз. с з/к с/ш с крышкой 16A механизм IP44 ""ARTGALLERY"" алюминий GAL440346 (10)",300200803_,GAL440346,10,,,,,,,,10,20,16,,7,,10,-1,,4,,4,,-8,,2,,1,6,-9,4,,1,10,,,77
"G021 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" алюминий GAL0315 (5)",300200804_,GAL000315,5,,,,,,,,6,14,,,,1,,,,,,,,-2,,,,,,-9,,,,,,,10
"G022 Вывод кабеля механизм ""ARTGALLERY"" алюминий GAL0399 (5)",300200805_,GAL000399,5,,,,,,,,5,10,5,,,,,,,,,,,-5,,,,,,-10,3,,,7,,,15
"G023 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" алюминий GAL0389 (5)",300200806_,GAL000389,5,,,,,,,,6,10,,,,,,,,,,,1,-4,2,3,,,,-9,,,,,,5,14
"G024 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" алюминий GAL0329 (1)",300200807_,GAL000329,1,,,,,,,,3,,,,6,,,,,,,,,-3,,,,,,,,,,,,,6
"G025 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" алюминий GAL0323 (1)",300200808_,GAL000323,1,,,,,,,,3,1,,,,,,,,,,,,-3,,,,,,,,,,,,,1
"G026 Роз. с з/к с/ш LED 16A механизм IP20 ""ARTGALLERY"" алюминий GAL0346 (10)",300200809_,GAL000346,10,,,,,,,,3,1,,,,,,,,1,,,,,2,,,,,,,,,,,,7
"G027 Роз. с з/к механизм 16A ""ARTGALLERY"" шампань GAL0543 (10)",300200810_,GAL000543,10,,,,,,,,44,477,224,361,385,149,506,380,380,268,120,91,213,56,186,184,172,159,126,27,32,179,30,252,241,112,5354
"G028 Роз. с з/к с/ш механизм ""ARTGALLERY"" шампань GAL0545 (10)",300200811_,GAL000545,10,,,,,,,,,61,14,,33,,,2,13,28,,28,-25,1,,2,6,,,,,45,1,,,75,284
"G029 Выкл. 1 кл 10А ""ARTGALLERY"" шампань GAL0511 (10)",300200812_,GAL000511,10,,,,,,,,14,135,67,98,89,40,78,104,99,73,37,-9,9,14,48,35,78,45,45,11,5,40,7,42,59,36,1299
"G030 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" шампань GAL0513 (10)",300200813_,GAL000513,10,,,,,,,,,20,40,29,10,,2,,,,,-6,-14,,,,,,,-10,,,,,12,,83
"G031 Выкл. 2 кл 10А механизм ""ARTGALLERY"" шампань GAL0551 (10)",300200814_,GAL000551,10,,,,,,,,10,89,32,77,37,11,89,56,72,37,112,32,33,7,20,28,60,27,31,7,11,26,6,30,35,27,1002
"G032 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" шампань GAL0553 (10)",300200815_,GAL000553,10,,,,,,,,,20,20,18,,,2,,,,5,-9,-1,,5,,,,,-9,,,,,,,51
"G033 Роз. комп. RJ45, 6A механизм ""ARTGALLERY"" шампань GAL0586 (5)",300200816_,GAL000586,5,,,,,,,,5,44,,24,22,5,19,-3,16,1,2,,-2,2,4,5,10,2,3,-3,1,9,1,6,5,,178
"G034 Переключ. 1 кл механизм ""ARTGALLERY"" шампань GAL0561 (10)",300200817_,GAL000561,10,,,,,,,,10,39,27,14,12,,28,40,54,2,34,2,3,,13,7,20,25,12,,,6,,10,11,18,387
"G035 Перекрест. переключ. 1 кл ""ARTGALLERY"" шампань GAL0571 (5)",300200818_,GAL000571,5,,,,,,,,10,20,,12,1,,8,,5,20,,-4,2,,3,,6,,,-8,,3,2,2,3,1,86
"G036 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" шампань GAL0588 (1)",300200819_,GAL000588,1,,,,,,,,,5,1,,,,,7,14,,,,-1,,3,,,,11,,1,,,,,,41
"G037 Роз. TV оконечная 1DB механизм ""ARTGALLERY"" шампань GAL0591 (5)",300200820_,GAL000591,5,,,,,,,,5,15,,10,3,,9,4,3,,2,-12,,,4,6,8,,,-7,,3,1,,1,2,57
"G038 Рамка 1-ная ""ARTGALLERY"" шампань GAL0501 (20)",300200821_,GAL000501,20,,,,,,,,44,236,114,191,159,95,361,238,164,136,86,41,48,75,50,73,251,73,64,18,18,103,23,86,84,147,2978
"G039 Рамка 2-ная ""ARTGALLERY"" шампань GAL0502 (10)",300200822_,GAL000502,10,,,,,,,,10,167,37,115,85,26,126,90,189,46,19,9,71,28,57,48,52,43,37,13,18,74,8,87,75,58,1588
"G040 Рамка 3-ная ""ARTGALLERY"" шампань GAL0503 (5)",300200823_,GAL000503,5,,,,,,,,10,89,12,49,44,9,77,20,54,27,15,-3,24,15,12,15,30,29,18,2,1,32,4,15,26,15,641
"G041 Рамка 4-ная ""ARTGALLERY"" шампань GAL0504 (5)",300200824_,GAL000504,5,,,,,,,,5,45,5,17,19,4,27,14,23,4,6,-33,9,2,14,7,20,6,11,7,1,13,,12,14,7,259
"G042 Рамка 5-ная ""ARTGALLERY"" шампань GAL0505 (5)",300200825_,GAL000505,5,,,,,,,,2,27,,10,7,6,4,-7,7,,,-3,-8,2,,2,2,1,1,-9,,2,,1,2,,49
"G043 Переключ. 2 кл механизм ""ARTGALLERY"" шампань GAL0565 (10)",300200826_,GAL000565,10,,,,,,,,10,39,10,10,37,,34,8,53,6,50,10,5,-3,7,5,14,6,4,-6,11,27,,14,11,1,363
"G044 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" шампань GAL0515 (5)",300200827_,GAL000515,5,,,,,,,,,10,,,,5,,5,,5,1,,-9,,,,,,,-6,,,,,,,11
"G045 Вывод кабеля механизм ""ARTGALLERY"" шампань GAL0599 (5)",300200828_,GAL000599,5,,,,,,,,,11,1,10,4,,7,5,31,3,,,-4,-3,,8,,,,-5,,2,1,,2,,73
"G046 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" шампань GAL0589 (5)",300200829_,GAL000589,5,,,,,,,,,30,,10,,,,-10,,,,-10,-10,,,,,,,-9,,,,,,,1
"G047 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" шампань GAL0529 (1)",300200830_,GAL000529,1,,,,,,,,,2,2,,2,,,3,,,,,2,,,,2,,,,,,,,1,,14
"G048 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" шампань GAL0523 (1)",300200831_,GAL000523,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,11,,,,,12
"G049 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" шампань GAL0546 (10)",300200832_,GAL000546,10,,,,,,,,5,23,20,29,11,6,20,7,4,6,2,-11,-3,,,,14,,7,4,,8,1,,22,,175
"G050 Выкл. 1 кл 10А ""ARTGALLERY"" лотос GAL1311 (5)",300200833_,GAL001311,5,,,,,,,,14,193,30,82,28,20,39,,14,9,40,-2,-8,-6,11,5,9,17,3,26,,28,18,11,24,15,620
"G051 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" лотос GAL1313 (5)",300200834_,GAL001313,5,,,,,,,,,30,30,20,7,6,,1,10,28,,-7,4,-4,,,4,3,,-15,,2,,,,,119
"G052 Выкл. 2 кл 10А механизм ""ARTGALLERY"" лотос GAL1351 (5)",300200835_,GAL001351,5,,,,,,,,,13,74,77,31,20,52,-1,71,30,35,-5,7,2,5,,4,7,3,36,2,12,25,7,15,7,529
"G053 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" лотос GAL1353 (5)",300200836_,GAL001353,5,,,,,,,,5,32,20,34,1,5,,,20,11,,-10,-4,-5,,,,,,-9,,2,,,3,1,106
"G054 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" лотос GAL1323 (1)",300200837_,GAL001323,1,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,1,4
"G055 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" лотос GAL1386 (5)",300200838_,GAL001386,5,,,,,,,,,,11,9,17,8,21,-7,10,9,10,3,7,,1,4,1,5,1,29,,2,3,1,18,,163
"G056 Переключ. 1 кл механизм ""ARTGALLERY"" лотос GAL1361 (5)",300200839_,GAL001361,5,,,,,,,,,1,20,32,11,10,20,-4,27,4,34,-1,2,1,,6,4,,8,-7,,7,4,8,8,4,199
"G057 Перекрест. переключ. 1 кл ""ARTGALLERY"" лотос GAL1371 (5)",300200840_,GAL001371,5,,,,,,,,5,40,10,12,,,3,-7,17,,2,-9,-5,-5,,,,1,,-7,,2,1,,20,,80
"G058 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" лотос GAL1388 (1)",300200841_,GAL001388,1,,,,,,,,3,3,,2,,6,2,,,,,,-2,,,,,,,,8,3,,,,,25
"G059 Роз. с з/к 16А механизм ""ARTGALLERY"" лотос GAL1343 (5)",300200842_,GAL001343,5,,,,,,,,10,389,124,558,270,325,236,167,674,224,229,-23,120,6,,105,78,90,25,154,3,120,116,32,177,81,4290
"G060 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" лотос GAL1345 (5)",300200843_,GAL001345,5,,,,,,,,14,137,15,5,85,76,10,2,41,,12,4,-21,-10,48,,,,,,15,,,21,16,,470
"G061 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" лотос GAL1346 (5)",300200844_,GAL001346,5,,,,,,,,,20,20,9,23,13,12,10,16,2,10,,-3,3,,5,,,,1,2,4,1,1,8,3,160
"G062 Роз. TV оконечная механизм ""ARTGALLERY"" лотос GAL1391 (5)",300200845_,GAL001391,5,,,,,,,,5,43,1,5,3,,3,-10,1,,,-23,-2,-5,4,,,,,-3,,,3,,,,25
"G063 Рамка 1-ная ""ARTGALLERY"" лотос GAL1301 (10)",300200846_,GAL001301,10,,,,,,,,,251,263,623,137,175,108,96,11,60,100,-234,18,-22,22,8,64,80,18,-9,5,51,89,28,96,54,2092
"G064 Рамка 2-ная ""ARTGALLERY"" лотос GAL1302 (5)",300200847_,GAL001302,5,,,,,,,,30,171,33,132,80,95,62,-21,70,36,46,5,26,-8,12,,8,30,11,45,,38,28,5,47,17,998
"G065 Рамка 3-ная ""ARTGALLERY"" лотос GAL1303 (5)",300200848_,GAL001303,5,,,,,,,,20,88,18,55,49,30,14,-7,42,8,23,4,23,-10,2,,6,6,1,39,2,16,3,9,15,11,467
"G066 Рамка 4-ная ""ARTGALLERY"" лотос GAL1304 (5)",300200849_,GAL001304,5,,,,,,,,10,51,10,21,5,15,17,-2,15,3,18,-6,,,5,1,,2,1,16,1,6,3,1,11,,204
