Номенклатура,Номенклатура.Код,Артикул,Кратность,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
,,,,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество,Количество
" S174  (1кл, инд с/у 16А, IP44) Переключатель ""Wessen 59"" ВС 616-157Б-18 (60) !!!",030200128_,VS616-157B-18,0,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,4
" S179   2кл с/у 16А  ""Wessen 59"" ВС 510-252-18 (10/60) !!!",030200382_,VS510-252-18,0,1,4,1,1,9,4,3,74,-34,5,,2,,,,,,,,3,3,9,,15,8,7,4,19,45,4,5,,4,196
" S183  Переключатель 1кл, с инд.,с/у 16А ""Wessen 59"" ВС 616-157-18 (60) !!!",030200127_,VS616-157-18,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4
" S184  Диммер (с/у 600Вт) ""Wessen 59"" ВПП-5С2-18(2/16) !!!",030200141_,SR-5S2-18,0,,,,,,,,,,,,,,,,,,,,,,,2,,2,14,,,,,,,,18
" S185 роз-ТВ. с\у  ""Wessen 59"" РТС 151-18 (60) !!!",030200096_,RTS-151-18,0,,2,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,122
" S186  с/у. з/ш 16А  ""Wessen 59""  РС 16-151-18 (10/60) !!!",030200072_,RS16-151-18,0,2,1,2,6,26,1,,,,,,,2,,,,,3,10,19,17,16,3,134,,,,1,20,,,,,263
" S187 с/у. з/ш. з/к.16А ""Wessen 59"" РС 16-152-18 (10/60) !!!",030200093_,RS16-152-18,20,34,22,2,,2,67,,16,,,,8,1,,,,,,,,1,,41,110,278,34,10,9,,,,,,635
" S188   с/у. з/ш, 2-я 16А  ""Wessen 59"" РС 16-254-18 (6/36) !!!",030200135_,RS16-254-18,12,,3,5,1,27,,,,,,,1,,,,,,,1,,2,,2,38,2,16,21,13,46,44,46,18,,286
" S189  с/у. з/ш, з,к, 2-я 16А  ""Wessen 59"" РС 16-255-18 (6/36) !!!",030200136_,RS16-255-18,6,20,3,,2,6,20,,,,,,,,,,1,,,,2,21,-4,1,100,82,6,5,35,11,23,,24,5,363
" S190  с/у. з/ш. з/к.16А, IP44 ""Wessen 59"" РС 16-152Б-18 (10/60) !!!",030200134_,RS16-152B-18,10,10,2,,,,,,5,1,,,,,,,,,,,2,,,,1,2,21,,83,35,11,27,30,64,294
" S191 роз тел. с\у 1А ""Wessen 59"" РСИ 152 Т-18 (60) !!!",030200094_,RSI-152T-18,0,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
" S192 роз информ. с\у 1А  ""Wessen 59"" РСИ 152 К5Е-18 (60) !!!",030200090_,RSI-152K5E-18,0,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2
" S194 2-я роз тел/комп с\у 1А  ""Wessen 59"" РСИ 251 ТК5Е-18 (60) !!!",030200095_,RSI-251TK5E-18,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
" S195 2-я роз информ. с\у 1А  ""Wessen 59"" РСИ 251 КК5Е-1-86 (60) !!!",030200142_,RSI-251KK5E-1-86,10,3,,,1,,28,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,36
