tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
23,4,3,1319,True,,leaf,,,False,-0.006985383357386907,,[]
23,5,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,6.0,7.0,True,-0.42126168224299065,1.471275021423019,[]
23,6,4,6995,True,,leaf,,,False,-0.006985383357386907,,[]
23,7,4,1555,True,,leaf,,,False,-0.006985383357386907,,[]
23,8,1,61122,False,lag_3,lag_3 <= 0,9.0,12.0,False,0.058692665052672906,0.0,[]
23,9,2,11731,False,month_sin,month_sin <= 0.25,10.0,11.0,True,-0.16140022144621413,0.25000000000000006,[]
23,10,3,6677,True,,leaf,,,False,-0.006858819513814946,,[]
23,11,3,5054,True,,leaf,,,False,-0.007149180204681089,,[]
23,12,2,49391,False,month_sin,month_sin <= 0.25,13.0,24.0,True,0.11098965607983644,0.25000000000000006,[]
23,13,3,29626,False,mean_6,mean_6 <= 1.3,14.0,17.0,True,0.18106357133216358,1.3,[]
23,14,4,14995,False,cv_12,cv_12 <= 1.05719,15.0,16.0,True,0.09616794401866045,1.0571882797418486,[]
23,15,5,11145,True,,leaf,,,False,0.006453997774337622,,[]
23,16,5,3850,True,,leaf,,,False,-0.0037622920302476438,,[]
23,17,4,14631,False,log_scale,log_scale <= 3.94803,18.0,19.0,True,0.26794617853971725,3.948033442951179,[]
23,18,5,11067,True,,leaf,,,False,0.017427711701673988,,[]
23,19,5,3564,False,category,"category in ['0103', '0105', '0107', '0302', '0808', '1201', '1303', '2401', '2506', '2601', '2703']",20.0,21.0,True,0.46278679350867374,,"[""0103"", ""0105"", ""0107"", ""0302"", ""0808"", ""1201"", ""1303"", ""2401"", ""2506"", ""2601"", ""2703""]"
23,20,6,1933,True,,leaf,,,False,0.030671971436706483,,[]
23,21,6,1631,False,month_cos,month_cos <= -6.12323e-17,22.0,23.0,False,0.25167580743449114,-6.123233995736765e-17,[]
23,22,7,793,True,,leaf,,,False,0.027849436205252237,,[]
23,23,7,838,True,,leaf,,,False,-0.0010838498724895479,,[]
23,24,3,19765,False,nonzero_12,nonzero_12 <= 0.708333,25.0,26.0,False,0.005916561314791403,0.7083333333333333,[]
23,25,4,4540,True,,leaf,,,False,-0.007660231001305615,,[]
23,26,4,15225,False,category,"category in ['0104', '0201', '1140', '1203', '1309', '1501', '2004', '2401', '2502', '2506', '2803', '2901', '2902', 'прочее']",27.0,28.0,False,0.05979652116836232,,"[""0104"", ""0201"", ""1140"", ""1203"", ""1309"", ""1501"", ""2004"", ""2401"", ""2502"", ""2506"", ""2803"", ""2901"", ""2902"", ""прочее""]"
23,27,5,2721,True,,leaf,,,False,-0.004009427759367895,,[]
23,28,5,12504,True,,leaf,,,False,0.003512469635488211,,[]
24,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,10.0,False,0.0,0.29166666666666663,[]
24,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5400688495716917,0.5,[]
24,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6530139614901078,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
24,3,3,719,True,,leaf,,,False,-0.006636114189517562,,[]
24,4,3,14384,True,,leaf,,,False,-0.006636114189517562,,[]
24,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.3667375240408948,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
24,6,3,1319,True,,leaf,,,False,-0.006636114189517562,,[]
24,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,9.0,True,-0.42102803738317757,1.471275021423019,[]
24,8,4,6995,True,,leaf,,,False,-0.006636114189517562,,[]
24,9,4,1555,True,,leaf,,,False,-0.006636114189517562,,[]
24,10,1,61122,False,lag_3,lag_3 <= 0,11.0,16.0,False,0.05476673427991886,0.0,[]
24,11,2,11731,False,month_sin,month_sin <= 0.25,12.0,13.0,True,-0.15697129716378502,0.25000000000000006,[]
24,12,3,6677,True,,leaf,,,False,-0.006515878538124198,,[]
24,13,3,5054,False,nonzero_12,nonzero_12 <= 0.458333,14.0,15.0,False,-0.2835703001579779,0.45833333333333337,[]
24,14,4,2197,True,,leaf,,,False,-0.0067917211944470346,,[]
24,15,4,2857,True,,leaf,,,False,-0.008230024470463887,,[]
24,16,2,49391,False,mean_6,mean_6 <= 1.69231,17.0,26.0,True,0.10507884455780248,1.6923076923076923,[]
24,17,3,40955,False,cv_12,cv_12 <= 1.05719,18.0,23.0,True,0.06764310997192725,1.0571882797418486,[]
24,18,4,29965,False,category,"category in ['0104', '0111', '0201', '1140', '1203', '1305', '1306', '1309', '1501', '1510', '2004', '2502', '2506', '2803', '2902', 'прочее']",19.0,20.0,False,0.11973311092577148,,"[""0104"", ""0111"", ""0201"", ""1140"", ""1203"", ""1305"", ""1306"", ""1309"", ""1501"", ""1510"", ""2004"", ""2502"", ""2506"", ""2803"", ""2902"", ""прочее""]"
24,19,5,5044,True,,leaf,,,False,-0.001597350099104178,,[]
24,20,5,24921,False,log_scale,log_scale <= 6.11993,21.0,22.0,True,0.15310256307408449,6.119931051480283,[]
24,21,6,21961,True,,leaf,,,False,0.005361839600440833,,[]
24,22,6,2960,True,,leaf,,,False,0.007204013488978481,,[]
24,23,4,10990,False,month_sin,month_sin <= -6.12323e-17,24.0,25.0,True,-0.07436363636363637,-6.123233995736766e-17,[]
24,24,5,5880,True,,leaf,,,False,0.0017440630788984085,,[]
24,25,5,5110,True,,leaf,,,False,-0.007277219451240335,,[]
24,26,3,8436,False,log_scale,log_scale <= 4.60016,27.0,28.0,True,0.28652616623253613,4.600157644164547,[]
24,27,4,7321,True,,leaf,,,False,0.022015492965802155,,[]
24,28,4,1115,True,,leaf,,,False,0.03947151146101283,,[]
25,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,10.0,False,0.0,0.29166666666666663,[]
25,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5400688495716917,0.5,[]
25,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6530139614901078,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
25,3,3,719,True,,leaf,,,False,-0.006304308480041683,,[]
25,4,3,14384,True,,leaf,,,False,-0.006304308480041683,,[]
25,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.3667375240408948,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
25,6,3,1319,True,,leaf,,,False,-0.006304308480041683,,[]
25,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,9.0,True,-0.42102803738317757,1.471275021423019,[]
25,8,4,6995,True,,leaf,,,False,-0.006304308480041683,,[]
25,9,4,1555,True,,leaf,,,False,-0.006304308480041683,,[]
25,10,1,61122,False,lag_2,lag_2 <= 0,11.0,16.0,False,0.05159327357194268,0.0,[]
25,11,2,12048,False,month_sin,month_sin <= 0.25,12.0,13.0,True,-0.15160059711394924,0.25000000000000006,[]
25,12,3,6523,True,,leaf,,,False,-0.0062176359696192425,,[]
25,13,3,5525,False,nonzero_12,nonzero_12 <= 0.458333,14.0,15.0,False,-0.2693766937669377,0.45833333333333337,[]
25,14,4,2283,True,,leaf,,,False,-0.0062716178763759485,,[]
25,15,4,3242,True,,leaf,,,False,-0.007818523246940693,,[]
25,16,2,49074,False,month_sin,month_sin <= 0.25,17.0,22.0,True,0.1014994702958194,0.25000000000000006,[]
25,17,3,29780,False,lag_1,lag_1 <= 1.03051,18.0,19.0,False,0.1646189996643169,1.0305084745762711,[]
25,18,4,14630,True,,leaf,,,False,0.004810096095174944,,[]
25,19,4,15150,False,log_scale,log_scale <= 5.80438,20.0,21.0,True,0.2428759894459103,5.804381673212317,[]
25,20,5,13542,True,,leaf,,,False,0.013769087711863063,,[]
25,21,5,1608,True,,leaf,,,False,0.019538452303315065,,[]
25,22,3,19294,False,nonzero_12,nonzero_12 <= 0.708333,23.0,26.0,False,0.0040406133443845835,0.7083333333333333,[]
25,23,4,4271,False,category,"category in ['0104', '0107', '0811', '1306', '1309', '2510', '2704', '2802']",24.0,25.0,False,-0.1707544966129409,,"[""0104"", ""0107"", ""0811"", ""1306"", ""1309"", ""2510"", ""2704"", ""2802""]"
25,24,5,596,True,,leaf,,,False,0.022516592658883255,,[]
25,25,5,3675,True,,leaf,,,False,-0.008793002205291438,,[]
25,26,4,15023,False,category,"category in ['0104', '0201', '1140', '1203', '1309', '1501', '2004', '2401', '2502', '2506', '2803', '2901', '2902', 'прочее']",27.0,28.0,False,0.053814940464311845,,"[""0104"", ""0201"", ""1140"", ""1203"", ""1309"", ""1501"", ""2004"", ""2401"", ""2502"", ""2506"", ""2803"", ""2901"", ""2902"", ""прочее""]"
25,27,5,2658,True,,leaf,,,False,-0.0036940108687588194,,[]
25,28,5,12365,True,,leaf,,,False,0.003109483340871555,,[]
26,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,10.0,False,0.0,0.29166666666666663,[]
26,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5396685613641822,0.5,[]
26,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6530139614901078,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
26,3,3,719,True,,leaf,,,False,-0.005989093056039599,,[]
26,4,3,14384,True,,leaf,,,False,-0.005989093056039599,,[]
26,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.36572527583763537,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
26,6,3,1319,True,,leaf,,,False,-0.005989093056039599,,[]
26,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,9.0,True,-0.41985981308411213,1.471275021423019,[]
26,8,4,6995,True,,leaf,,,False,-0.005989093056039599,,[]
26,9,4,1555,True,,leaf,,,False,-0.005989093056039599,,[]
26,10,1,61122,False,lag_3,lag_3 <= 0,11.0,14.0,False,0.047274749721913235,0.0,[]
26,11,2,11731,False,trend_factor,trend_factor <= 0.99305,12.0,13.0,False,-0.15475683502257048,0.9930496218922821,[]
26,12,3,2529,True,,leaf,,,False,0.003831667992494958,,[]
26,13,3,9202,True,,leaf,,,False,-0.006398246074971233,,[]
26,14,2,49391,False,month_sin,month_sin <= 0.25,15.0,24.0,True,0.09528147203497905,0.25000000000000006,[]
26,15,3,29626,False,mean_6,mean_6 <= 1.28342,16.0,19.0,False,0.15967067080577677,1.2834224598930482,[]
26,16,4,14680,False,category,"category in ['0111', '0302', '0303', '1140', '1305', '1306', '1309', '1501', '2502', '2506', '2703', '2801', '2802', '2803', '2902', 'прочее']",17.0,18.0,False,0.07896528250510551,,"[""0111"", ""0302"", ""0303"", ""1140"", ""1305"", ""1306"", ""1309"", ""1501"", ""2502"", ""2506"", ""2703"", ""2801"", ""2802"", ""2803"", ""2902"", ""прочее""]"
26,17,5,5417,True,,leaf,,,False,-0.0017075179265465257,,[]
26,18,5,9263,True,,leaf,,,False,0.006681770182482633,,[]
26,19,4,14946,False,log_scale,log_scale <= 3.94803,20.0,21.0,True,0.238833912810912,3.948033442951179,[]
26,20,5,11307,True,,leaf,,,False,0.015301293967271446,,[]
26,21,5,3639,False,category,"category in ['0103', '0105', '0107', '0302', '0808', '1201', '1303', '2401', '2506', '2601', '2703']",22.0,23.0,True,0.4124417648670869,,"[""0103"", ""0105"", ""0107"", ""0302"", ""0808"", ""1201"", ""1303"", ""2401"", ""2506"", ""2601"", ""2703""]"
26,22,6,1970,True,,leaf,,,False,0.02759017780221771,,[]
26,23,6,1669,True,,leaf,,,False,0.010231644395478879,,[]
26,24,3,19765,False,nonzero_12,nonzero_12 <= 0.708333,25.0,26.0,False,-0.0012642225031605564,0.7083333333333333,[]
26,25,4,4540,True,,leaf,,,False,-0.0067997511532582565,,[]
26,26,4,15225,False,category,"category in ['0201', '1140', '1203', '1309', '1501', '2004', '2401', '2502', '2506', '2803', '2901', '2902', 'прочее']",27.0,28.0,False,0.04916311125697407,,"[""0201"", ""1140"", ""1203"", ""1309"", ""1501"", ""2004"", ""2401"", ""2502"", ""2506"", ""2803"", ""2901"", ""2902"", ""прочее""]"
26,27,5,2570,True,,leaf,,,False,-0.003852046297668242,,[]
26,28,5,12655,True,,leaf,,,False,0.002837599828761722,,[]
27,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,10.0,False,0.0,0.29166666666666663,[]
27,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5395084460811784,0.5,[]
27,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6527492886918547,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
27,3,3,719,True,,leaf,,,False,-0.005689638403237619,,[]
27,4,3,14384,True,,leaf,,,False,-0.005689638403237619,,[]
27,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.36572527583763537,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
27,6,3,1319,True,,leaf,,,False,-0.005689638403237619,,[]
27,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,9.0,True,-0.41985981308411213,1.471275021423019,[]
27,8,4,6995,True,,leaf,,,False,-0.005689638403237619,,[]
27,9,4,1555,True,,leaf,,,False,-0.005689638403237619,,[]
27,10,1,61122,False,lag_3,lag_3 <= 0,11.0,18.0,False,0.043872276385526404,0.0,[]
27,11,2,11731,False,month_sin,month_sin <= 0.25,12.0,15.0,True,-0.15390511881441105,0.25000000000000006,[]
27,12,3,6677,False,category,"category in ['0104', '0105', '0107', '0201', '1201', '1302', '2401', '2403', '2502', '2802', '2901', '2902']",13.0,14.0,False,-0.059668012561686856,,"[""0104"", ""0105"", ""0107"", ""0201"", ""1201"", ""1302"", ""2401"", ""2403"", ""2502"", ""2802"", ""2901"", ""2902""]"
27,13,4,1309,True,,leaf,,,False,0.01549926000573205,,[]
27,14,4,5368,True,,leaf,,,False,-0.006538976086362858,,[]
27,15,3,5054,False,nonzero_12,nonzero_12 <= 0.458333,16.0,17.0,False,-0.27804107424960506,0.45833333333333337,[]
27,16,4,2197,True,,leaf,,,False,-0.005818641937157323,,[]
27,17,4,2857,True,,leaf,,,False,-0.007107684780845097,,[]
27,18,2,49391,False,mean_6,mean_6 <= 1.69231,19.0,26.0,True,0.09086860589866602,1.6923076923076923,[]
27,19,3,40955,False,cv_12,cv_12 <= 1.05719,20.0,23.0,True,0.055974612474063226,1.0571882797418486,[]
27,20,4,29965,False,category,"category in ['0103', '0105', '0107', '0108', '0303', '0808', '1201', '2403', '2510', '2601', '2704', '2801', '2802']",21.0,22.0,False,0.10365304420350292,,"[""0103"", ""0105"", ""0107"", ""0108"", ""0303"", ""0808"", ""1201"", ""2403"", ""2510"", ""2601"", ""2704"", ""2801"", ""2802""]"
27,21,5,7707,True,,leaf,,,False,0.007728944815819228,,[]
27,22,5,22258,True,,leaf,,,False,0.0023414078461846096,,[]
27,23,4,10990,False,category,"category in ['0103', '0104', '0105', '0107', '0808', '0811', '1201', '1302', '1303', '1306', '1510', '2401', '2403', '2703', '2704', '2802', '2901', '2902']",24.0,25.0,False,-0.074,,"[""0103"", ""0104"", ""0105"", ""0107"", ""0808"", ""0811"", ""1201"", ""1302"", ""1303"", ""1306"", ""1510"", ""2401"", ""2403"", ""2703"", ""2704"", ""2802"", ""2901"", ""2902""]"
27,24,5,3693,True,,leaf,,,False,0.004637430827630018,,[]
27,25,5,7297,True,,leaf,,,False,-0.006259790027196607,,[]
27,26,3,8436,False,trend_factor,trend_factor <= 0.99305,27.0,28.0,False,0.2600047359696898,0.9930496218922821,[]
27,27,4,2822,True,,leaf,,,False,0.03520614109604441,,[]
27,28,4,5614,True,,leaf,,,False,0.015031071576633668,,[]
28,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,10.0,False,0.0,0.29166666666666663,[]
28,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5394283884396766,0.5,[]
28,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6527492886918547,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
28,3,3,719,True,,leaf,,,False,-0.005405156483075738,,[]
28,4,3,14384,True,,leaf,,,False,-0.005405156483075738,,[]
28,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.3655228261969835,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
28,6,3,1319,True,,leaf,,,False,-0.005405156483075738,,[]
28,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,9.0,True,-0.41962616822429905,1.471275021423019,[]
28,8,4,6995,True,,leaf,,,False,-0.005405156483075738,,[]
28,9,4,1555,True,,leaf,,,False,-0.005405156483075738,,[]
28,10,1,61122,False,lag_1,lag_1 <= 0,11.0,16.0,False,0.04109140875482562,0.0,[]
28,11,2,12431,False,category,"category in ['0108', '0302', '0303', '0808', '0811', '1305', '1501', '1510', '2004', '2402', '2502', '2506', '2514', '2702', '2703', '2801', '3002', 'прочее']",12.0,15.0,True,-0.14540631782011093,,"[""0108"", ""0302"", ""0303"", ""0808"", ""0811"", ""1305"", ""1501"", ""1510"", ""2004"", ""2402"", ""2502"", ""2506"", ""2514"", ""2702"", ""2703"", ""2801"", ""3002"", ""прочее""]"
28,12,3,8711,False,trend_factor,trend_factor <= 0.99305,13.0,14.0,False,-0.2129342965256278,0.9930496218922821,[]
28,13,4,1717,True,,leaf,,,False,0.00022849314812893874,,[]
28,14,4,6994,True,,leaf,,,False,-0.006212027282044715,,[]
28,15,3,3720,True,,leaf,,,False,0.0007592783514090637,,[]
28,16,2,48691,False,month_sin,month_sin <= 0.25,17.0,26.0,True,0.08872507751380874,0.25000000000000006,[]
28,17,3,29811,False,category,"category in ['0103', '0104', '0105', '0107', '0108', '0808', '1510', '2403', '2510', '2601', 'прочее']",18.0,19.0,False,0.14623922739009423,,"[""0103"", ""0104"", ""0105"", ""0107"", ""0108"", ""0808"", ""1510"", ""2403"", ""2510"", ""2601"", ""прочее""]"
28,18,4,4408,True,,leaf,,,False,0.014563683569581754,,[]
28,19,4,25403,False,baseline_ratio,baseline_ratio <= 1.25394,20.0,21.0,False,0.11541337110927478,1.2539383773192554,[]
28,20,5,12272,True,,leaf,,,False,0.002109930977905128,,[]
28,21,5,13131,False,mean_6,mean_6 <= 1.31034,22.0,23.0,False,0.18499353169469598,1.3103448275862069,[]
28,22,6,4311,True,,leaf,,,False,0.003550286604096359,,[]
28,23,6,8820,False,category,"category in ['0302', '1201', '1303', '1306', '2401', '2502', '2506', '2514', '2703', '2801', '2802', '2803']",24.0,25.0,True,0.24462061155152887,,"[""0302"", ""1201"", ""1303"", ""1306"", ""2401"", ""2502"", ""2506"", ""2514"", ""2703"", ""2801"", ""2802"", ""2803""]"
28,24,7,5214,True,,leaf,,,False,0.024464576313994114,,[]
28,25,7,3606,True,,leaf,,,False,0.008552992886058075,,[]
28,26,3,18880,False,cv_12,cv_12 <= 1.05719,27.0,28.0,True,-0.0021175224986765486,1.0571882797418486,[]
28,27,4,14351,True,,leaf,,,False,0.001340393004947882,,[]
28,28,4,4529,True,,leaf,,,False,-0.005527709840299457,,[]
29,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,12.0,False,0.0,0.29166666666666663,[]
29,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5392682731566728,0.5,[]
29,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6527492886918547,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
29,3,3,719,True,,leaf,,,False,-0.005134898658921951,,[]
29,4,3,14384,True,,leaf,,,False,-0.005134898658921951,,[]
29,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.36511792691567974,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
29,6,3,1319,True,,leaf,,,False,-0.005134898658921951,,[]
29,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,11.0,True,-0.41962616822429905,1.471275021423019,[]
29,8,4,6995,False,lag_1,lag_1 <= 0,9.0,10.0,True,-0.4809421841541756,0.0,[]
29,9,5,4679,True,,leaf,,,False,-0.005134898658921951,,[]
29,10,5,2316,True,,leaf,,,False,-0.005134898658921951,,[]
29,11,4,1555,True,,leaf,,,False,-0.005134898658921951,,[]
29,12,1,61122,False,lag_1,lag_1 <= 0,13.0,18.0,False,0.037296342341163385,0.0,[]
29,13,2,12431,False,category,"category in ['0108', '0302', '0303', '0808', '0811', '1305', '1501', '1510', '2004', '2402', '2502', '2506', '2514', '2702', '2703', '2801', '3002', 'прочее']",14.0,17.0,True,-0.14540631782011093,,"[""0108"", ""0302"", ""0303"", ""0808"", ""0811"", ""1305"", ""1501"", ""1510"", ""2004"", ""2402"", ""2502"", ""2506"", ""2514"", ""2702"", ""2703"", ""2801"", ""3002"", ""прочее""]"
29,14,3,8711,False,trend_factor,trend_factor <= 0.99305,15.0,16.0,False,-0.21270496502694644,0.9930496218922821,[]
29,15,4,1717,True,,leaf,,,False,0.00021706849072249124,,[]
29,16,4,6994,True,,leaf,,,False,-0.005901425917942479,,[]
29,17,3,3720,True,,leaf,,,False,0.0007213144338386115,,[]
29,18,2,48691,False,mean_6,mean_6 <= 1.69231,19.0,26.0,True,0.08396131496273176,1.6923076923076923,[]
29,19,3,40305,False,cv_12,cv_12 <= 1.07046,20.0,23.0,True,0.051916160238124766,1.0704630042173193,[]
29,20,4,29971,False,category,"category in ['0103', '0105', '0107', '0108', '0303', '0808', '1201', '2403', '2510', '2601', '2703', '2704', '2801', '2802']",21.0,22.0,False,0.09382608985690938,,"[""0103"", ""0105"", ""0107"", ""0108"", ""0303"", ""0808"", ""1201"", ""2403"", ""2510"", ""2601"", ""2703"", ""2704"", ""2801"", ""2802""]"
29,21,5,8329,True,,leaf,,,False,0.007299401518789975,,[]
29,22,5,21642,True,,leaf,,,False,0.0019897822353661916,,[]
29,23,4,10334,False,category,"category in ['0104', '0107', '0808', '0811', '1201', '1302', '1510', '2403', '2802', '2902', 'прочее']",24.0,25.0,False,-0.06960556844547564,,"[""0104"", ""0107"", ""0808"", ""0811"", ""1201"", ""1302"", ""1510"", ""2403"", ""2802"", ""2902"", ""прочее""]"
29,24,5,1806,True,,leaf,,,False,0.010897218398455522,,[]
29,25,5,8528,True,,leaf,,,False,-0.0056704150338218046,,[]
29,26,3,8386,False,log_scale,log_scale <= 4.38826,27.0,28.0,True,0.23773225345402574,4.388257184424518,[]
29,27,4,7146,True,,leaf,,,False,0.01753339051073281,,[]
29,28,4,1240,True,,leaf,,,False,0.03263443971188673,,[]
30,0,0,86094,False,nonzero_12,nonzero_12 <= 0.291667,1.0,10.0,False,0.0,0.29166666666666663,[]
30,1,1,24972,False,mean_6,mean_6 <= 0.5,2.0,5.0,True,-0.5391882155151709,0.5,[]
30,2,2,15103,False,category,"category in ['0104', '0811', '1309', '2403', '2502', '2506', '2901']",3.0,4.0,False,-0.6526169522927281,,"[""0104"", ""0811"", ""1309"", ""2403"", ""2502"", ""2506"", ""2901""]"
30,3,3,719,True,,leaf,,,False,-0.004878153725975854,,[]
30,4,3,14384,True,,leaf,,,False,-0.004878153725975854,,[]
30,5,2,9869,False,category,"category in ['0104', '0201', '0203', '1501', '2401', '2502', '2514', '2703', '2704', '2802', '2901', '3001']",6.0,7.0,False,-0.36511792691567974,,"[""0104"", ""0201"", ""0203"", ""1501"", ""2401"", ""2502"", ""2514"", ""2703"", ""2704"", ""2802"", ""2901"", ""3001""]"
30,6,3,1319,True,,leaf,,,False,-0.004878153725975854,,[]
30,7,3,8550,False,baseline_ratio,baseline_ratio <= 1.47128,8.0,9.0,True,-0.41962616822429905,1.471275021423019,[]
30,8,4,6995,True,,leaf,,,False,-0.004878153725975854,,[]
30,9,4,1555,True,,leaf,,,False,-0.004878153725975854,,[]
30,10,1,61122,False,lag_1,lag_1 <= 0,11.0,16.0,False,0.033108682850225744,0.0,[]
30,11,2,12431,False,category,"category in ['0108', '0302', '0303', '0808', '0811', '1305', '1501', '1510', '2004', '2402', '2502', '2506', '2514', '2702', '2703', '2801', '3002', 'прочее']",12.0,15.0,True,-0.14508480025721404,,"[""0108"", ""0302"", ""0303"", ""0808"", ""0811"", ""1305"", ""1501"", ""1510"", ""2004"", ""2402"", ""2502"", ""2506"", ""2514"", ""2702"", ""2703"", ""2801"", ""3002"", ""прочее""]"
30,12,3,8711,False,trend_factor,trend_factor <= 0.99305,13.0,14.0,False,-0.21155830753353974,0.9930496218922821,[]
30,13,4,1717,True,,leaf,,,False,0.000206215066186366,,[]
30,14,4,6994,True,,leaf,,,False,-0.005606354622045355,,[]
30,15,3,3720,True,,leaf,,,False,0.0006852487121466813,,[]
30,16,2,48691,False,month_sin,month_sin <= 0.25,17.0,24.0,True,0.07862261555204206,0.25000000000000006,[]
30,17,3,29811,False,log_scale,log_scale <= 6.11993,18.0,23.0,True,0.13396599711612622,6.119931051480283,[]
30,18,4,27671,False,mean_6,mean_6 <= 1.95556,19.0,22.0,True,0.11455511000325133,1.9555555555555555,[]
30,19,5,23496,False,category,"category in ['0103', '0104', '0105', '0107', '0108', '0201', '0808', '1201', '1302', '1510', '2004', '2401', '2403', '2510', '2601', '2802', '2901', 'прочее']",20.0,21.0,False,0.08636092912447886,,"[""0103"", ""0104"", ""0105"", ""0107"", ""0108"", ""0201"", ""0808"", ""1201"", ""1302"", ""1510"", ""2004"", ""2401"", ""2403"", ""2510"", ""2601"", ""2802"", ""2901"", ""прочее""]"
30,20,6,7406,True,,leaf,,,False,0.010559625650545253,,[]
30,21,6,16090,True,,leaf,,,False,0.002083900387863494,,[]
30,22,5,4175,True,,leaf,,,False,0.025938836427782552,,[]
30,23,4,2140,True,,leaf,,,False,0.010939741702544088,,[]
30,24,3,18880,False,nonzero_12,nonzero_12 <= 0.458333,25.0,26.0,False,-0.008787718369507676,0.45833333333333337,[]
30,25,4,1234,True,,leaf,,,False,-0.0056942186023151604,,[]
30,26,4,17646,False,category,"category in ['0201', '1140', '1203', '1305', '1501', '2004', '2401', '2502', '2803', '2901', '2902', 'прочее']",27.0,28.0,False,0.012573629361123698,,"[""0201"", ""1140"", ""1203"", ""1305"", ""1501"", ""2004"", ""2401"", ""2502"", ""2803"", ""2901"", ""2902"", ""прочее""]"
