tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
2,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.49211788896504455,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
2,5,4,1294,True,,leaf,,,False,-0.020511363636363637,,[]
2,6,4,10368,True,,leaf,,,False,-0.020511363636363637,,[]
2,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.2035693039857228,0.20833333333333331,[]
2,8,3,3247,True,,leaf,,,False,-0.020511363636363637,,[]
2,9,3,5148,True,,leaf,,,False,-0.020511363636363637,,[]
2,10,1,55389,False,lag_1,lag_1 <= 0.370813,11.0,16.0,False,0.24576255889095472,0.3708125570615914,[]
2,11,2,15490,False,lag_1,lag_1 <= 0,12.0,15.0,True,-0.04606451612903226,0.0,[]
2,12,3,9125,False,month_sin,month_sin <= 0.25,13.0,14.0,True,-0.15555555555555556,0.25000000000000006,[]
2,13,4,4620,True,,leaf,,,False,-0.001330157547370664,,[]
2,14,4,4505,True,,leaf,,,False,-0.020948254698535042,,[]
2,15,3,6365,True,,leaf,,,False,0.0055490264385182845,,[]
2,16,2,39899,False,month_sin,month_sin <= 0.25,17.0,24.0,True,0.35904182014082037,0.25000000000000006,[]
2,17,3,25000,False,log_scale,log_scale <= 3.70233,18.0,23.0,True,0.4880447820871651,3.702330251838059,[]
2,18,4,16692,False,lag_3,lag_3 <= 0.200477,19.0,20.0,False,0.38055322715842416,0.20047732696897377,[]
2,19,5,3299,True,,leaf,,,False,0.008839675554450472,,[]
2,20,5,13393,False,lag_2,lag_2 <= 0.196721,21.0,22.0,False,0.44698947996717153,0.19672131147540986,[]
2,21,6,2142,True,,leaf,,,False,0.01194329500661026,,[]
2,22,6,11251,True,,leaf,,,False,0.03286488375521965,,[]
2,23,4,8308,True,,leaf,,,False,0.033385289318222454,,[]
2,24,3,14899,False,log_scale,log_scale <= 3.63209,25.0,26.0,True,0.14239720973908376,3.632088619767191,[]
2,25,4,9236,True,,leaf,,,False,-0.0010005341432760774,,[]
2,26,4,5663,False,cv_12,cv_12 <= 0.514419,27.0,28.0,False,0.4027851225101357,0.5144192097652285,[]
2,27,5,2709,True,,leaf,,,False,0.012453310400845134,,[]
2,28,5,2954,True,,leaf,,,False,0.008023275209908271,,[]
3,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
3,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.4803841771121602,1.0512417478780258,[]
3,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.5862007168458782,0.16666666666666666,[]
3,3,3,10648,True,,leaf,,,False,-0.019485795454545457,,[]
