trees,train_scaled_mae,future_scaled_mae
1,1.1340284219918249,0.9179728064664678
2,1.12352146944755,0.9080342389977875
3,1.1135817535075367,0.90025599909361
4,1.1042439240025077,0.8923314909733552
5,1.095202137195804,0.8851935017864916
6,1.0871220622357742,0.8795897518089026
7,1.0793853231972328,0.8755580381630987
8,1.0722703008425296,0.8707518192493752
9,1.0655610978612757,0.8663277419553134
10,1.0592049494053652,0.8640076415424965
11,1.0534663958018218,0.861914804507797
12,1.0482676217148033,0.8590546292664071
13,1.043284293668866,0.8564696887867294
14,1.038511901196544,0.8551788062624295
15,1.0340394986044008,0.8532789484910134
16,1.0299849510242474,0.8520999636448908
17,1.026156200565628,0.8505343993380584
18,1.0222307587503927,0.8493618459856317
19,1.0189670930811547,0.8484650567790345
20,1.0158081485275643,0.8470794997513013
21,1.012822093628538,0.8455823402323122
22,1.0097569780716988,0.8460393329096679
23,1.0069493690135434,0.8472815261412799
24,1.0045142620004817,0.8459671753073459
25,1.0021457619115874,0.845573214241065
26,0.9997669436890488,0.8443856931963359
27,0.9976766805949351,0.8434866146631953
28,0.995634608942825,0.842447659229512
29,0.9938232651104966,0.8414878007736322
30,0.9920095564257012,0.840449023176513
31,0.9903845338526036,0.8404015079381953
32,0.988788706471539,0.839490466799075
33,0.9873408253455986,0.8389319752629737
34,0.9858419470841464,0.8381783092103755
35,0.984531650851177,0.8383077472217594
36,0.9832979198682706,0.8379148153970642
37,0.9820636563298821,0.8372808703384743
38,0.9809763943659701,0.8366300453773414
39,0.9797694108760928,0.8389792677021773
40,0.9787453052963181,0.8392126078680245
41,0.9778307991184124,0.8386173866958373
42,0.976962966578273,0.8387430644581527
43,0.9761332529498188,0.8383033171656173
44,0.9752651039220491,0.8378562514415232
45,0.974552988689435,0.8378058433981126
46,0.9739149728639942,0.8373269862487622
47,0.9731190285434828,0.8372506011255605
48,0.9724633602916346,0.8369250571164455
49,0.9718233596697796,0.8366099521846035
50,0.9711935040001951,0.8363836588018766
51,0.9706199996878064,0.8365310134431188
52,0.9700506077640055,0.8362761394450222
53,0.9695263522988282,0.836602172192002
54,0.9689766514974778,0.8362474772236649
55,0.9685145783286205,0.8365760663011438
56,0.9680056855385849,0.8362356675390888
57,0.9676008511862538,0.8363537591832321
58,0.9671792411019384,0.8360903450439742
59,0.9668591469247754,0.835997215191171
60,0.9665020421055192,0.8361530248333898
61,0.9661614197515913,0.8363196269307872
62,0.9658580260354445,0.8360893310119499
63,0.965589240943767,0.8363283163975012
64,0.9653131580532709,0.8360492706070478
65,0.9650127113297258,0.8363344618416735
66,0.9646920161662039,0.8369824996798811
67,0.9644516724375151,0.8369341163460174
68,0.9641860683259146,0.837409703217573
69,0.963914064499866,0.8380242797139974
70,0.9635595273030745,0.8379475192093355
71,0.9633177425400049,0.838547397618286
72,0.9630224343030455,0.8388465604646963
73,0.9628082693835998,0.8387688669060529
74,0.9625920400037061,0.8388117318619034
